band,inception,musician
Korn,1993,David Silveria
The Fuzztones,1981,Rudi Protrudi
Information Society,1989,Paul Robb
The Pussycat Dolls,2003,Lauren Bennett
Dschinghis Khan,1979,Steve Bender
Punch Brothers,2006,Chris Thile
Sirkus Eliassen,2011,Magnus Eliassen
Energy 52,1991,Harald Blüchel
Dschinghis Khan,1979,Leslie Mándoki
Sirkus Eliassen,2011,Erik Eliassen
Kispál és a Borz,1987,Q906783
Dschinghis Khan,1979,Edina Pop
Kispál és a Borz,1987,Gábor Leskovics
Dschinghis Khan,1979,Wolfgang Heichel
Dschinghis Khan,1979,Louis Hendrik Potgieter
Dschinghis Khan,1979,Henriette Heichel
And One,1989,Steve Naghavi
Kispál és a Borz,1987,András Kispál
Kispál és a Borz,1987,András Lovasi
The Mahones,1990,Joe Chithalen
BAP,1976,Wolfgang Niedecken
Anthrax,1981,Joey Belladonna
Minor Threat,1980,Jeff Nelson
Foghat,1971,Dave Peverett
Minor Threat,1980,Ian MacKaye
Minor Threat,1980,Brian Baker
Korpiklaani,1993,Jonne Järvelä
Minor Threat,1980,Steve Hansgen
Mental As Anything,1976,Martin Plaza
Minor Threat,1980,Lyle Preslar
Lynyrd Skynyrd,1964,Hughie Thomasson
Lynyrd Skynyrd,1964,Larry Junstrom
Lynyrd Skynyrd,1964,Cassie Gaines
Lynyrd Skynyrd,1964,Mark Matejka
Edguy,1992,Jens Ludwig
Edguy,1992,Felix Bohnke
Edguy,1992,Dirk Sauer
Edguy,1992,Tobias Exxel
Edguy,1992,Tobias Sammet
Fugees,1990,Pras
Fugees,1990,Lauryn Hill
Avantasia,1999,Tobias Sammet
+44,2005,Mark Hoppus
Fugees,1990,Wyclef Jean
Lynyrd Skynyrd,1964,Bob Burns
Lynyrd Skynyrd,1964,Robert Kearns
2raumwohnung,2000,Inga Humpe
Lynyrd Skynyrd,1964,Owen Hale
Fugees,2004,Wyclef Jean
Lynyrd Skynyrd,1964,Allen Collins
Lynyrd Skynyrd,1964,Greg T. Walker
Lynyrd Skynyrd,1964,Steve Gaines
Lynyrd Skynyrd,1964,Artimus Pyle
Lynyrd Skynyrd,1964,Billy Powell
Lynyrd Skynyrd,1964,Ean Evans
Lynyrd Skynyrd,1964,Ed King
Lynyrd Skynyrd,1964,Johnny Van Zant
Lynyrd Skynyrd,1964,Ronnie Van Zant
Lynyrd Skynyrd,1964,Gary Rossington
Lynyrd Skynyrd,1964,Kenny Aronoff
Lynyrd Skynyrd,1964,Johnny Colt
Lynyrd Skynyrd,1964,Michael Cartellone
Lynyrd Skynyrd,1964,Rickey Medlocke
Lynyrd Skynyrd,1964,Peter Keys
2raumwohnung,2000,Tommi Eckart
The Drones,1998,Gareth Liddiard
Rammstein,1994,Richard Z. Kruspe
The Smithereens,1980,Pat DiNizio
Fear Factory,1989,Mike Heller
Silverchair,1992,Nicolás Molina
Watarirouka Hashiritai 7,2008,Mayu Watanabe
3T,1995,Taj Jackson
Fear Factory,1989,Tony Campos
Fear Factory,1989,Burton C. Bell
The Box Tops,1963,Alex Chilton
Zappa Plays Zappa,2006,Dweezil Zappa
Fear Factory,1989,Dino Cazares
Sturm und Drang,2004,André Linman
Epica,2002,Mark Jansen
A-Teens,1998,Dhani Lennevald
A-Teens,1998,Amit Sebastian Paul
Epica,2002,Simone Simons
Antestor,1990,Lars Stokstad
Bloodhound Gang,1988,Jimmy Pop
Antestor,1990,Vegard Undal
A-Teens,1998,Sara Lumholdt
A-Teens,1998,Marie Serneholt
Run-D.M.C.,1981,Jam Master Jay
Monrose,2006,Mandy Capristo
Run-D.M.C.,1981,Joseph Simmons
Hassisen Kone,1979,Ismo Alanko
Stereophonics,1992,Stuart Cable
Sektor Gaza,1987,Q4140264
Fugees,2004,Pras
Run-D.M.C.,1981,Darryl McDaniels
Fugees,2004,Lauryn Hill
"Earth, Wind & Fire",1970,Maurice White
Melnitsa,1999,Natalia O'Shea
Sektor Gaza,1987,Yuri Klinskikh
Rammstein,1994,Paul Landers
Bratmobile,1991,Allison Wolfe
Sektor Gaza,1987,Igor Zhirnov
Bathory,1983,Jonas Åkerlund
The Tokens,1955,Jay Siegel
Tinpan Orange,2005,Emily Lubitz
Bathory,1983,Quorthon
Rammstein,1994,Christian Lorenz
The Tokens,1955,Neil Sedaka
Rammstein,1994,Till Lindemann
Wir sind Helden,2000,Judith Holofernes
Silverchair,1992,Daniel Johns
Silverchair,1992,Ben Gillies
Silverchair,1992,Chris Joannou
Ruki Vverh!,1996,Sergey Zhukov
Ruki Vverh!,1996,Aleksey Potehin
D12,1996,Bizarre
D12,1996,Kuniva
Sodom,1982,Tom Angelripper
Sodom,1982,Stefan Hüskens
Sodom,1982,Frank Gosdzik
D12,1996,Eminem
D12,1996,Swifty McVay
The Offspring,1984,Dexter Holland
D12,1996,Mr. Porter
No Angels,2001,Vanessa Petruo
Billy Talent,1993,Benjamin Kowalewicz
Alphaville,1982,Ricky Echolette
A-ha,1982,Morten Harket
Scooter,1993,Michael Simon
Scooter,1993,Rick J. Jordan
Scooter,1993,Ferris Bueller
Scooter,1993,Phil Speiser
Scooter,1993,H.P. Baxxter
Scooter,1993,Jens Thele
Slade,1966,Dave Hill
Gamma Ray,1988,Kai Hansen
Boney M.,1975,Maizie Williams
Scooter,1993,Axel Coon
Boney M.,1975,Liz Mitchell
Scooter,1993,Jay Frog
Boney M.,1975,Marcia Barrett
Boney M.,1975,Bobby Farrell
Sodom,1981,Tom Angelripper
Sodom,1981,Stefan Hüskens
Sodom,1981,Frank Gosdzik
Therion,1987,Johan Niemann
Therion,1987,Fredrik Isaksson
Destruction,1982,Marcel Schirmer
Therion,1987,Mats Levén
Dream Theater,1985,Chris Collins
Therion,1987,Peter Hansson
Therion,1987,Kristian Niemann
Dream Theater,1985,John Myung
Dream Theater,1985,Kevin Moore
Therion,1987,Oskar Forss
Dream Theater,1985,Jordan Rudess
Therion,1987,Thomas Vikström
Dream Theater,1985,John Petrucci
Dream Theater,1985,James LaBrie
Dream Theater,1985,Mike Mangini
Therion,1987,Sami Karppinen
Therion,1987,Dan Swanö
Therion,1987,Lars Rosenberg
Therion,1987,Christofer Johnsson
Dream Theater,1985,Mike Portnoy
Therion,1987,Richard Evensand
Therion,1987,Sarah Jezebel Deva
Dream Theater,1985,Charlie Dominici
Dream Theater,1985,Derek Sherinian
Shade Empire,1999,Juha Harju
Carpathian Forest,1990,Nattefrost
Nokturnal Mortum,1994,Knjaz Varggoth
Destruction,1982,Randy Black
Destruction,1982,Mike Sifringer
Darkthrone,1986,Nocturno Culto
Destruction,1982,Vaaver
Darkthrone,1986,Fenriz
Destruction,1982,Marc Reign
Seven Witches,1998,Jack Frost
Bläck Fööss,1970,Tommy Engel
Dixie Chicks,1989,Emily Robison
Blind Guardian,1984,Hansi Kürsch
Dixie Chicks,1989,Martie Maguire
La Düsseldorf,1975,Klaus Dinger
Ace of Base,1990,Clara Hagman
Ace of Base,1990,Jonas Berggren
Dixie Chicks,1989,Natalie Maines
Imagination,1981,Leee John
Loituma,1989,Sanna Kurki-Suonio
Ace of Base,1990,Ulf Ekberg
The Futureheads,2000,Ross Millard
Ace of Base,1990,Linn Berggren
Genesis,1967,Phil Collins
Genesis,1967,Ray Wilson
Genesis,1967,Peter Gabriel
Genesis,1967,Steve Hackett
Genesis,1967,Anthony Phillips
Ace of Base,1990,Jenny Berggren
Genesis,1967,Chester Thompson
Genesis,1967,Tony Banks
Zao,1993,Daniel Weydant
Absu,1989,Proscriptor
Genesis,1967,Mike Rutherford
Genesis,1967,Daryl Stuermer
