band,inception,musician
Quatermass,1969,Mick Underwood
Tegan and Sara,1995,Sara Quin
Toy Dolls,1979,Michael Algar
Bananarama,1979,Keren Woodward
The Cross,1987,Roger Taylor
Bananarama,1979,Siobhan Fahey
Box Car Racer,2001,Tom DeLonge
Culture,1976,Joseph Hill
Quicksand,1990,Walter Schreifels
Asobi Seksu,2001,Yuki Chikudate
Plastic Ono Band,1969,Yoko Ono
Plastic Ono Band,1969,John Lennon
Bananarama,1979,Sara Dallin
Golden Earring,1961,Rinus Gerritsen
Whitehouse,1980,William Bennett
Golden Earring,1961,Cesar Zuiderwijk
Golden Earring,1961,George Kooymans
Madina Lake,2005,Nathan Leone
Whitehouse,1980,Peter Sotos
Showaddywaddy,1973,Romeo Challenger
Golden Earring,1961,Barry Andrew Hay
Whitehouse,1980,Philip Best
The Sound,1979,Adrian Borland
Living Sacrifice,1989,Bruce Fitzhugh
VNV Nation,1990,Ronan Harris
Six Feet Under,1995,Chris Barnes
Asking Alexandria,2008,Ben Bruce
Pure Reason Revolution,2003,Chloe Alper
Asleep at the Wheel,1970,Lucky Oceans
"Ashton, Gardner and Dyke",1969,Tony Ashton
Sahg,2004,Einar Selvik
Iced Earth,1985,Jon Schaffer
Fountains of Wayne,1995,Adam Schlesinger
Asian Dub Foundation,1993,Steve Chandra Savale
Neurotic Outsiders,1995,Matt Sorum
Neurotic Outsiders,1995,John Taylor
Neurotic Outsiders,1995,Steve Jones
Neurotic Outsiders,1995,Billy Idol
Sahg,2004,King ov Hell
Neurotic Outsiders,1995,Steve Stevens
Wild Orchid,1991,Fergie
Blackfoot,1970,Rickey Medlocke
Kittie,1996,Morgan Lander
Neurotic Outsiders,1995,Duff McKagan
Selena Gomez & the Scene,2008,Selena Gomez
Gerry and the Pacemakers,1959,Gerry Marsden
The Human League,1977,Philip Oakey
Atomic,1999,Magnus Broo
Tegan and Sara,1995,Tegan Quin
Kittie,1996,"Ivana ""Ivy"" Vujic"
Kittie,1996,Mercedes Lander
Foals,2005,Yannis Philippakis
Lars Frederiksen and the Bastards,2000,Lars Frederiksen
Magazin,1979,Danijela Martinović
Von Thronstahl,1995,Josef Maria Klumb
Magazin,1979,Ljiljana Nikolovska
Goombay Dance Band,1979,Oliver Bendt
Bush,1992,Robin Goodridge
Bush,1992,Gavin Rossdale
Carter the Unstoppable Sex Machine,1988,Jim Bob
Summoning,1993,Michael Gregor
Slipknot,1995,Craig Jones
Papa Roach,1993,David John Lewis Buckner
Summoning,1993,Richard Lederer
Slipknot,1995,Shawn Crahan
Bush,1992,Chris Traynor
Slipknot,1995,Joey Jordison
Slipknot,1995,Mick Thomson
Slipknot,1995,Sid Wilson
Soilwork,1996,Dirk Verbeuren
Slipknot,1995,Jim Root
Terminal Choice,1993,Chris Pohl
Yōsei Teikoku,1997,Takaha Tachibana
Slipknot,1995,Jay Weinberg
Orange Range,2001,ryo
Slipknot,1995,Alessandro Venturella
Slipknot,1995,Corey Taylor
Soilwork,1996,Daniel Antonsson
Soilwork,1996,Björn Strid
Slipknot,1995,Michael Pfaff
LaBrassBanda,2007,Stefan Dettl
Ásmegin,1998,Erik Rasmussen
Soilwork,1996,Peter Wichers
Yōsei Teikoku,1997,Yui Itsuki
LaBrassBanda,2007,Andreas Martin Hofmeir
Stardust,1998,Alan Braxe
Stardust,1998,Benjamin Diamond
Stardust,1998,Thomas Bangalter
Magazin,1979,Andrea Šušnjara
Magazin,1979,Jelena Rozga
Magazin,1979,Tonči Huljić
Bon Jovi,1983,Tico Torres
Bon Jovi,1983,Phil X
Adelitas Way,2006,Rick DeJesus
Strange Sensation,2001,Robert Plant
Strange Sensation,2001,Justin Adams
Soilwork,1996,Henry Ranta
Strange Sensation,2001,Liam Tyson
Soilwork,1996,Ola Frenning
Soilwork,1996,Bastian Thusgaard
Arabesque,1977,Sandra
Grand Avenue,2001,Rasmus Walter
Nekromantix,1989,Kim Nekroman
In Flames,1990,Niclas Engelin
In Flames,1990,Anders Iwers
In Flames,1990,Johan Larsson
In Flames,1990,Daniel Svensson
In Flames,1990,Anders Fridén
In Flames,1990,Björn Gelotte
XYZ,1981,Chris Squire
In Flames,1990,Joe Rickard
In Flames,1990,Jesper Strömblad
Bon Jovi,1983,Hugh McDonald
In Flames,1990,Peter Iwers
Bon Jovi,1983,Jon Bon Jovi
Bon Jovi,1983,Richie Sambora
Bon Jovi,1983,David Bryan
In Flames,1990,Glenn Ljungström
Yoshida Brothers,1999,Ken'ichi Yoshida
The Babys,1976,Michael Corby
Milk Inc.,1996,Linda Mertens
Arcadia,1985,Roger Taylor
The Band,1964,Levon Helm
I Am Arrows,2009,Andy Burrows
Milk Inc.,1996,Regi Penxten
Skin Yard,1985,Gruntruck
Arcadia,1985,Nick Rhodes
Mutya Keisha Siobhan,2011,Mutya Buena
The Sainte Catherines,1999,Hugo Mudie
The Fire Theft,2001,Jeremy Enigk
Brother Firetribe,2002,Pekka Heino
Brother Firetribe,2002,Kalle Torniainen
Arcadia,1985,Simon Le Bon
Brother Firetribe,2002,Tomppa Nikulainen
Empyr,2007,Benoît Poher
Taste,1966,Rory Gallagher
Brother Firetribe,2002,Hannes Pirilä
Brother Firetribe,2002,Emppu Vuorinen
The Seekers,1962,Judith Durham
Brother Firetribe,2002,Jason Flinck
We Are the Fallen,2009,Carly Smithson
Portugal. The Man,2004,Kane Ritchotte
Circa Survive,2004,Anthony Green
Kwan,2000,Mari Pajalahti
October Tide,1995,Mattias Norrman
Triana,1974,Eduardo Rodríguez Rodway
Triana,1974,Jesús de la Rosa Luque
October Tide,1995,Fredrik Norrman
Kwan,2000,Tatu Ferchen
Kwan,2000,Tidjân Ba
The Seekers,1962,Athol Guy
Divinefire,2004,Jani Stefanovic
The Seekers,1962,Keith Potger
Lareine,1994,Kamijo
October Tide,1995,Jonas Renkse
Triana,1974,Juan José Palacios
Assemblage 23,1988,Tom Shear
:wumpscut:,1991,Rudy Ratzinger
The Seekers,1962,Bruce Woodley
The Amplifetes,2008,Henrik Jonback
Rare Bird,1969,Steve Gould
Wally,2009,Nick Glennie-Smith
Kwan,2000,Risto Rikala
Thee Headcoats,1989,Billy Childish
Yoshida Brothers,1999,Ryōichirō Yoshida
The Young Veins,2009,Ryan Ross
Daisy Chainsaw,1989,KatieJane Garside
Kaizers Orchestra,2000,Janove Ottesen
The Wolfe Tones,1963,Derek Warfield
The Ordinary Boys,2002,Preston
Juliette and the Licks,2003,Juliette Lewis
Wellwater Conspiracy,1993,Matt Cameron
Nuclear Death,1986,Laura Bravo
Soul Coughing,1992,Mike Doughty
Dwarves,1983,Blag Dahlia
Damageplan,2003,Dimebag Darrell
Rödelheim Hartreim Projekt,1993,Sabrina Setlur
Rödelheim Hartreim Projekt,1993,Xavier Naidoo
Chips,1979,Kikki Danielsson
Ceremonial Oath,1989,Anders Fridén
Naked City,1988,John Zorn
KinKi Kids,1992,Koichi Domoto
Elio e le Storie Tese,1979,Elio
Gorky Park,1987,Q4538041
Gorky Park,1987,Alexei Belov
KinKi Kids,1992,Tsuyoshi Domoto
Gorky Park,1987,Nikolai Noskov
Gorky Park,1987,Alexander Lvov
Rödelheim Hartreim Projekt,1993,Moses Pelham
Eyehategod,1988,Mike Williams
Capharnaum,1993,Matt Heafy
Dashboard Confessional,1999,Chris Carrabba
Gorky Park,1987,Aleksandr Marshal
Eyehategod,1988,Jimmy Bower
Kollage,2006,Biswabijoy Sen
Skindred,1998,Benji Webbe
Superjoint Ritual,1993,Phil Anselmo
Hatfield and the North,1972,Phil Miller
Refugee,1974,Lee Jackson
Girl Thing,1998,Jodi Albert
Shadow Gallery,1985,Mike Baker
Enthroned,1993,Nornagest
Hot Hot Heat,1999,Dante DeCaro
Cutting Crew,1985,Nick Van Eede
SuperHeavy,2011,Mick Jagger
Kiosk,2004,Arash Sobhani
Ushirogami Hikaretai,1987,Shizuka Kudō
Modà,2002,Enrico Zapparoli
The Great Society,1965,Darby Slick
Heaven & Hell,2006,Ronnie James Dio
Heaven & Hell,2006,Vinny Appice
Coldseed,2005,Björn Strid
The KLF,1987,Jimmy Cauty
Asphyx,1987,Stefan Hüskens
Asphyx,1987,Martin van Drunen
The KLF,1987,Bill Drummond
Birdy Nam Nam,2001,Crazy B
Birdy Nam Nam,2001,DJ Need
Birdy Nam Nam,2001,Little Mike
Heaven 17,1980,Ian Craig Marsh
Wolfmother,2000,Chris Ross
Nena,1982,Nena
Nena,1982,Carlo Karges
Nena,1982,Jörn-Uwe Fahrenkrog-Petersen
Nena,1982,Jürgen Dehmel
Jets to Brazil,1997,Blake Schwarzenbach
La Renga,1988,Gustavo Nápoli
Nena,1982,Rolf Brendel
Glasvegas,2003,James Allan
Los Tres,1989,Álvaro Henríquez
Los Tres,1989,Francisco Molina
The Braxtons,1989,Toni Braxton
Los Tres,1989,Ángel Parra
White Zombie,1985,Rob Zombie
Los Tres,1989,Roberto Lindl
Caesars,1995,Joakim Åhlund
The Braxtons,1989,Traci Braxton
Current 93,1982,Rose McDowall
Current 93,1982,Steven Stapleton
Sabaton,1999,Rikard Sundén
Sabaton,1999,Hannes Van Dahl
Current 93,1982,Michael Cashmore
The Braxtons,1989,Tamar Estine Braxton
Current 93,1982,James Blackshaw
Current 93,1982,Joolie Wood
Current 93,1982,Douglas P.
Sabaton,1999,Thorbjörn Englund
Los Tres,1989,Camilo Salinas
The Braxtons,1989,Trina Braxton
Sabaton,1999,Joakim Brodén
Sabaton,1999,Robban Bäck
Sabaton,1999,Daniel Mÿhr
Los Tres,1989,Manuel Basualto
Primus,1984,Les Claypool
Current 93,1982,David Tibet
Heaven & Hell,2006,Tony Iommi
Heaven & Hell,2006,Geezer Butler
Sabaton,1999,Tommy Johansson
Sabaton,1999,Pär Sundström
Trans-X,1983,Pascal Languirand
Sabaton,1999,Chris Rörland
Sabaton,1999,Oskar Montelius
Sabaton,1999,Daniel Mullback
Kalafina,2007,Keiko Kubota
Ill Niño,1999,Cristian Machado
Son Goku,2002,Thomas D
2Be3,1996,Filip Nikolic
Kalafina,2007,Hikaru Masai
The xx,2005,Jamie xx
Cinema,1982,Alan White
Haloo Helsinki!,2006,Elli Haloo
Cinema,1982,Chris Squire
Haloo Helsinki!,2006,Jere Marttila
Haim,2007,Este Haim
Haim,2007,Danielle Haim
Haloo Helsinki!,2006,Leo Hakanen
The Lonely Island,2001,Jorma Taccone
Despair,1986,Markus Freiwald
Cinema,1982,Trevor Rabin
Despair,1986,Waldemar Sorychta
The Lonely Island,2001,Akiva Schaffer
Haloo Helsinki!,2006,Jukka Soldan
The Lonely Island,2001,Andy Samberg
Haim,2007,Alana Haim
Girlicious,2007,Chrystina Sayers
Empire,2000,Lance King
Girlicious,2007,Nichole Marie Cordova
Bishop Allen,2003,Justin Rice
The Last Shadow Puppets,2007,Miles Kane
The Last Shadow Puppets,2007,Alex Turner
Orlando Riva Sound,1977,Anthony Monn
Dota and the City Pirates,2003,Dota Kehr
Cobra Killer,1998,Annika Line Trost
Shonentai,1985,Noriyuki Higashiyama
Metro Station,2006,Trace Cyrus
Crazy Town,1995,DJ AM
Cobra Killer,1998,Gina V. D'Orio
Kalafina,2007,Wakana Ōtaki
Kalafina,2007,Yuki Kajiura
Idoli,1980,Srđan Šaper
Blazin' Squad,2002,Kenzie
Warlock,1982,Doro
Fabrika,2002,Irina Toneva
Celebrate the Nun,1987,H.P. Baxxter
Buckcherry,1995,Josh Todd
Falkenbach,1989,Vratyas Vakyas
Blackstreet,1991,Teddy Riley
Blackstreet,1991,Dave Hollister
Das Ich,1989,Bruno Kramm
Altan,1987,Mairéad Ní Mhaonaigh
Arrested Development,1988,Speech
Koinonia,1980,Alex Acuña
2 Live Crew,1982,Luther Campbell
Conflict,1981,Steve Ignorant
D.A.F.,1978,Gabi Delgado-López
Die Verbannten Kinder Evas,1993,Richard Lederer
Alternative TV,1977,Alex Fergusson
Idoli,1980,Branko Isaković
Beasts of Bourbon,1983,Spencer P. Jones
Beasts of Bourbon,1983,Tex Perkins
Stefy,2002,Adam Ross
Dionysos,1993,Mathias Malzieu
Fabrika,2002,Sati Kazanova
Blackstreet,1991,Mark Middleton
Les Breastfeeders,1999,Sunny Duval
Industry,2009,Donal Skehan
Idoli,1980,Goran Vejvoda
Idoli,1980,Vlada Divljan
Idoli,1980,Zdenko Kolar
Fabrika,2002,Alexandra Savelyeva
Prime Minister,1997,Amarkhuu Borkhuu
Idoli,1980,Nebojša Krstić
Alta Moda,1979,Molly Johnson
Luar na Lubre,1986,Rosa Cedrón
Turmion Kätilöt,2003,Janne Tolsa
Sven-Ingvars,1956,Sven-Erik Magnusson
Turmion Kätilöt,2003,Spellgoth
Babylon Zoo,1992,Jas Mann
Purple Ribbon All-Stars,2004,Bubba Sparxxx
2 Plus 1,1971,Q9152670
CKY,1998,Chad I Ginsburg
Negative,1997,Jonne Aaron
Shagrat,1970,Steve Peregrin Took
Chthonic,1995,Freddy Lim
Turmion Kätilöt,2003,MC Raaka Pee
Dionysus,1999,Olaf Hayer
Turmion Kätilöt,2003,Master Bates
2 Plus 1,1971,Janusz Kruk
GTR,1985,Steve Hackett
Love Sculpture,1966,Dave Edmunds
Pow woW,1990,Alain Chennevière
2 Plus 1,1971,Cezary Szlązak
Thy Catafalque,1998,Tamás Kátai
Pow woW,1990,Bertrand Pierre
Kluster,1969,Conrad Schnitzler
Saviour Machine,1989,Eric Clayton
2 Plus 1,1971,Elżbieta Dmoch
Great Speckled Bird,1969,Ian Tyson
Chthonic,1995,Dani Wang
Chthonic,1995,CJ Kao
Chthonic,1995,Doris Yeh
Moving Hearts,1981,Dónal Lunny
Modest Mouse,1993,Isaac Brock
Small Faces,1965,Steve Marriott
Turmion Kätilöt,2003,Bobby Undertaker
Greenslade,1972,Dave Greenslade
Pow woW,1990,Ahmed Mouici
Arrows,1974,Alan Merrill
2 Plus 1,1971,Andrzej Rybiński
Turmion Kätilöt,2003,Saku Solin
Chthonic,1995,Jesse Liu
The Like,2001,"Elizabeth ""Z"" Berg"
Pow woW,1990,Pascal Periz
Pow woW,2005,Alain Chennevière
Pow woW,2005,Bertrand Pierre
Pow woW,1990,Yvo Abadi
The Moldy Peaches,1994,Kimya Dawson
Ash Ra Tempel,1970,Klaus Schulze
Qntal,1991,Ernst Horn
Associates,1979,Michael Dempsey
Atari Teenage Riot,1992,Hanin Elias
Atari Teenage Riot,1992,Alec Empire
Pow woW,2005,Ahmed Mouici
Darkwell,1999,Stephanie Luzie
Cryptopsy,1988,Flo Mounier
Black Box Recorder,1998,Luke Haines
Musical Youth,1979,Dennis Seaton
Nidji,2002,Giring Ganesha
Kerber,1981,Goran Šepa
Pow woW,2005,Pascal Periz
Associates,1979,Billy Mackenzie
Notre Dame,1997,Snowy Shaw
Atari Teenage Riot,1992,Carl Crack
Firebird,1999,Bill Steer
Gotan Project,2000,Eduardo Makaroff
Suncokret,1975,Bora Đorđević
Ash Ra Tempel,1970,Manuel Göttsching
Beasts of Bourbon,1983,James Baker
Beasts of Bourbon,1983,Kim Salmon
Pow woW,2005,Yvo Abadi
Stahlgewitter,1995,Daniel Giese
Idoli,1980,Kokan Popović
The Fray,2002,Isaac Slade
The Fray,2002,Ben Wysocki
Riverside,2001,Mariusz Duda
The Fray,2002,Dave Welsh
Détente,1984,Ross Robinson
Platero y Tú,1989,Iñaki Antón
Freundeskreis,1996,Philippe Alexander Kayser
Freundeskreis,1996,Max Herre
Platero y Tú,1989,Fito Cabrales
NOFX,1983,Eric Melvin
Kasabian,1997,Jay Mehler
NOFX,1983,Erik Sandin
Platero y Tú,1989,Jesús García Castilla
iamamiwhoami,2009,Jonna Lee
NOFX,1983,Fat Mike
Platero y Tú,1989,Juantxu Olano
Il Divo,2004,Carlos Marín
NOFX,1983,El Hefe
iamamiwhoami,2009,Claes Björklund
7 Year Bitch,1990,Roisin Dunne
7 Year Bitch,1990,Valerie Agnew
Coon-Sanders Original Nighthawk Orchestra,1919,Joe Sanders
7 Year Bitch,1990,Elizabeth Davis
Suffocation,1989,Terrance Hobbs
The White Stripes,1997,Jack White
7 Year Bitch,1990,Selene Vigil-Wilk
Behemoth,1991,Adam Darski
Hatebreed,1994,Jamey Jasta
Suffocation,1989,Frank Mullen
7 Year Bitch,1990,Stefanie Sargent
Suffocation,1989,Kevin Talley
7 Seconds,1980,Kevin Seconds
The White Stripes,1997,Meg White
HammerFall,1993,Jesper Strömblad
HammerFall,1993,Joacim Cans
Maximum the Hormone,1998,Ryo Kawakita
Coon-Sanders Original Nighthawk Orchestra,1919,Carleton A. Coon
1990s,2000,Jackie McKeown
Emperor,1991,Ihsahn
HammerFall,1993,Oscar Dronjak
HammerFall,1993,Mikael Stanne
Combichrist,2003,Andy LaPlegua
883,1991,Max Pezzali
Tijuana No!,1992,Julieta Venegas
Ribspreader,2002,Dan Swanö
Détente,1984,Dawn Crosby
Hot Club de Norvège,1979,Jon Larsen
Nocturnal Breed,1996,Silenoz
The Fray,2002,Joe King
Asylum Street Spankers,1994,Guy Forsyth
Bröselmaschine,1968,Peter Bursch
Enslavement of Beauty,1995,Asgeir Mickelson
Explorers Club,1997,Trent Gardner
Bröselmaschine,1968,Manni von Bohr
Julien-K,2004,Amir Derakh
G. Love & Special Sauce,1992,Mark Boyce
Bröselmaschine,1968,Willi Kissmer
The Head Cat,2000,Danny B. Harvey
Brute.,1995,Vic Chesnutt
Fun Lovin' Criminals,1993,Huey Morgan
The Head Cat,2000,Slim Jim Phantom
The Head Cat,2000,Lemmy Kilmister
Garolou,1975,Marc Lalonde
Finch,1999,Nate Barcalow
Last Autumn's Dream,2002,Mikael Erlandsson
Bröselmaschine,1974,Peter Bursch
Bröselmaschine,1974,Manni von Bohr
Bröselmaschine,2005,Peter Bursch
Bröselmaschine,1974,Willi Kissmer
Falconer,1999,Mathias Blad
Bröselmaschine,2005,Manni von Bohr
Bröselmaschine,2005,Willi Kissmer
Escape the Fate,2005,Ronnie Radke
The Gap Band,1967,Charlie Wilson
Bröselmaschine,1975,Peter Bursch
Bröselmaschine,1975,Manni von Bohr
Bröselmaschine,1984,Peter Bursch
Bröselmaschine,1975,Willi Kissmer
Bröselmaschine,1969,Peter Bursch
Bröselmaschine,1984,Manni von Bohr
Bröselmaschine,1984,Willi Kissmer
Bröselmaschine,1969,Manni von Bohr
Bros,1986,Matt Goss
Bröselmaschine,1969,Willi Kissmer
Foxboro Hot Tubs,2007,Billie Joe Armstrong
Pain of Salvation,1984,Daniel Gildenlöw
Cake,1991,Greg Brown
House of Pain,1991,Everlast
Laban,1982,Lecia Jönsson
Morcheeba,1995,Daisy Martey
The 69 Eyes,1989,Jussi 69
Au Revoir Simone,2003,Erika Forster
Five Finger Death Punch,2005,Zoltan Bathory
Jet,2001,Nic Cester
The 69 Eyes,1989,Archzie
Laban,1982,Ivan Pedersen
The 69 Eyes,1989,Jyrki 69
Au Revoir Simone,2003,Annie Hart
Audiovision,2002,Christian Liljegren
Love Battery,1989,Dan Peters
Bijelo Dugme,1974,Milić Vukašinović
Au Revoir Simone,2003,Heather D'Angelo
The Sisters of Mercy,1980,Andrew Eldritch
Paradise Lost,1988,Nick Holmes
Paradise Lost,1988,Gregor Mackintosh
Béla Fleck and the Flecktones,1988,Béla Fleck
Paradise Lost,1988,Steve Edmondson
The Frustrators,1999,Jason Chandler
Paradise Lost,1988,Adrian Erlandsson
Filter,1993,Richard Patrick
Terror Squad,1998,Big Pun
Scar Symmetry,2004,Jonas Kjellgren
Paradise Lost,1988,Aaron Aedy
Rascal Flatts,1999,Gary LeVox
Atmosphere,1994,Slug
Toy-Box,1995,Aneela Mirza
Aterciopelados,1990,Héctor Buitrago
Beady Eye,2009,Liam Gallagher
Simple Minds,1977,Charlie Burchill
Ataxia,2004,Joe Lally
Simple Minds,1977,Jim Kerr
Simple Minds,1977,Mick MacNeil
Ataxia,2004,Josh Klinghoffer
Aterciopelados,1990,Andrea Echeverri
Mor ve Ötesi,1995,Harun Tekin
Ataxia,2004,John Frusciante
Rascal Flatts,1999,Jay DeMarcus
The Saturdays,2008,Una Healy
Boom Boom Satellites,1990,Michiyuki Kawashima
Pennywise,1988,Jim Lindberg
Vengeance,1983,Arjen Anthony Lucassen
Morcheeba,1995,Skye Edwards
El Canto del Loco,2000,Dani Martín
Opus,1973,Herwig Rüdisser
Fairies,2011,Sora Nomoto
Fairies,2011,Mahiro Hayashida
Apollo 3,2006,Dario Alessandro Barbanti-Flick
Scandal,1981,Patty Smyth
Telex,1978,Michel Moers
Telex,1978,Marc Moulin
Fairies,2011,Miria Fujita
M83,2001,Anthony Gonzalez
The Hiatus,2009,Hirohisa Horie
Fairies,2011,Momoka Ito
Fairies,2011,M Three
M83,2001,Venga Monjas
M83,2001,Nicolas Fromageau
M83,2001,Pierre-Marie Maulini
Romans,2003,Mari Yaguchi
M83,2001,Kaela Sinclair
Fairies,2011,Miki Shimomura
The Neville Brothers,1977,Art Neville
M83,2001,Morgan Kibby
Pirates of the Sea,2008,Roberto Meloni
Fairies,2011,Rikako Inoue
Bonham,1989,Jason Bonham
Kajagoogoo,1982,Limahl
M83,2001,Yann Gonzalez
Day After Tomorrow,2002,Masato Kitano
Day After Tomorrow,2002,Misono
Apollo 440,1990,James Gardner
Hey Monday,2007,Cassadee Pope
Téléphone,1976,Jean-Louis Aubert
Day After Tomorrow,2002,Daisuke Suzuki
Time,1971,Dado Topić
CSS,2003,Lovefoxxx
JJ72,1996,Mark Greaney
Antony and the Johnsons,1998,Anohni
Drive-By Truckers,1996,Mike Cooley
The Luyas,2006,Pietro Amato
Ten Foot Pole,1983,Scott Radinsky
Diva,2011,Sayaka Akimoto
Miles,1979,Shafin Ahmed
Delivery,1968,Pip Pyle
Mindless Self Indulgence,1997,Jennifer Dunn
Mindless Self Indulgence,1997,Lindsey Way
The Syn,1965,Chris Squire
The Syn,1965,Steve Nardelli
The Walker Brothers,1964,Scott Walker
Kula Shaker,1988,Crispian Mills
El Canto del Loco,2000,David Otero
Round Table,1997,Katsutoshi Kitagawa
Icon for Hire,2007,Ariel Bloomer
Telex,1978,Dan Lacksman
Apollonia 6,1983,Apollonia Kotero
Sleepthief,2006,Justin Elswick
The Syn,1965,Martyn Adelman
Mindless Self Indulgence,1997,James Euringer
Round Table,1997,Rieko Itō
Mindless Self Indulgence,1997,Steve Montano
Opus,1973,Ewald Pfleger
Bérurier Noir,1978,Laurent Katrakazos
Gojira,1996,Joe Duplantier
Butterfield Blues Band,1963,Paul Butterfield
Butthole Surfers,1981,King Coffey
Burning Witch,1995,Stephen O'Malley
The Drifters,1956,Chū Arai
We the Kings,2003,Travis Clark
The Drifters,1956,Takagi Bū
CC Cowboys,1989,Magnus Grønneberg
The Drifters,1956,Ken Shimura
The Drifters,1956,Chosuke Ikariya
Butthole Surfers,1981,Gibby Haynes
The Drifters,1956,Cha Katō
CIV,1994,Gorilla Biscuits
Butthole Surfers,1981,Jeff Pinkus
Butthole Surfers,1981,Paul Leary
Buono!,2007,Airi Suzuki
Thao & The Get Down Stay Down,2003,Thao Nguyen
Gilgamesh,1972,Alan Gowen
Cabaret Voltaire,1973,Richard Kirk
Buono!,2007,Miyabi Natsuyaki
Buono!,2007,Momoko Tsugunaga
"Paice, Ashton & Lord",1977,Ian Paice
Bérurier Noir,1978,Junior Cony
Bérurier Noir,1978,François Guillemot
Bérurier Noir,1978,Marsu
Bérurier Noir,1978,Helno
Bérurier Noir,1978,Masto
Little Joy,2007,Binki Shapiro
Little Joy,2007,Rodrigo Amarante
Train,1994,Patrick Monahan
G4,2004,Matthew Stiff
U.D.O.,1987,Udo Dirkschneider
Crash Test Dummies,1988,Brad Roberts
R5,2009,Ross Lynch
R5,2009,Riker Lynch
R5,2009,Rydel Lynch
AAA,2005,Takahiro Nishijima
AAA,2005,Mitsuhiro Hidaka
Volbeat,2001,Franz Gottschalk
AAA,2005,Misako Uno
Volbeat,2001,Jon Larsen
R5,2009,Ellington Ratliff
Volbeat,2001,Thomas Bredahl
R5,2009,Rocky Lynch
Volbeat,2001,Anders Kjølholm
Volbeat,2001,Rob Caggiano
Volbeat,2001,Michael Poulsen
98 Degrees,1996,Jeff Timmons
AAA,2005,Naoya Urata
Panic! at the Disco,2005,Brendon Urie
AAA,2005,Shūta Sueyoshi
AAA,2005,Chiaki Itō
AAA,2005,Shinjirō Atae
Corona,1993,Olga Souza
Volbeat,2001,Kaspar Boye Larsen
Volbeat,2001,Teddy Vang
The Ukrainians,1991,Peter Solowka
A1,1998,Paul Marazzi
High on Fire,1998,Joe Preston
High on Fire,1998,Jeff Matz
High on Fire,1998,Des Kensel
Fugazi,1987,Joe Lally
Fugazi,1987,Ian MacKaye
High on Fire,1998,Matt Pike
Fugazi,1987,Brendan Canty
Converge,1990,Jacob Bannon
Fugazi,1987,Guy Picciotto
The 88,2002,Adam Merrin
Hail of Bullets,2006,Martin van Drunen
Morbid,1986,"Per ""Dead"" Ohlin"
Green Carnation,1990,Tchort
National Health,1975,Dave Stewart
Calle 13,2004,Visitante
Camper Van Beethoven,1983,David Lowery
Caifanes,1987,Diego Herrera
Calle 13,2004,Residente
Caifanes,1987,Saúl Hernández
Camila,2005,Mario Domm
Caedmon's Call,1993,Derek Webb
Calle 13,2004,iLe
Hail of Bullets,2006,Ed Warby
Caifanes,1987,Alejandro Marcovich
Caifanes,1987,Alfonso André
Caifanes,1987,Sabo Romo
Three 6 Mafia,1991,DJ Paul
Calle Ciega,1998,Chino & Nacho
Three 6 Mafia,1991,Crunchy Black
Negativland,1979,Richard Lyons
NYC,2010,Ryosuke Yamada
Negativland,1979,David Wills
Negativland,1979,Don Joyce
Sexy Zone,2011,Marius Yo
Nadja,2003,Aidan Baker
Sexy Zone,2011,Shori Sato
Negativland,1979,Mark Hosler
Arashi,1999,Jun Matsumoto
Ar Re Yaouank,1986,Frédéric Guichen
Electronic,1988,Bernard Sumner
Sexy Zone,2011,Kento Nakajima
Negativland,1979,Peter Conheim
Dinosaur Jr.,1984,J Mascis
Arashi,1999,Kazunari Ninomiya
Sexy Zone,2011,Sō Matsushima
Arashi,1999,Sho Sakurai
Roo'ra,1994,Kim Ji-hyun
Sexy Zone,2011,Fuma Kikuchi
Arashi,1999,Satoshi Ohno
Fight,1993,Rob Halford
Trucks,2002,Olav Iversen
Grand Funk Railroad,1968,Don Brewer
Arashi,1999,Masaki Aiba
Ska-P,1994,Alberto Javier Amado
Dead Moon,1987,Fred Cole
Wintersun,2004,Jukka Koskinen
Jane's Addiction,1985,Eric Avery
Ska-P,1994,Joxemi
Apostle of Hustle,2001,Andrew Whiteman
Ska-P,1994,Ricardo Delgado de la Obra
Wintersun,2004,Asim Searah
Wintersun,2004,Jari Mäenpää
Ska-P,1994,Julio César Sánchez
Flint,2003,Jim Davies
Wintersun,2004,Kai Hahto
Vader,1983,Piotr Wiwczarek
Wings,1971,Paul McCartney
Wings,1971,Laurence Juber
Wintersun,2004,Teemu Mäntysaari
Vader,1983,Krzysztof Raczkowski
Arakain,1982,Aleš Brichta
Flint,2003,Keith Flint
Flint,2003,Rob Holliday
Arakain,1982,Jiří Urban
Drowning Pool,1996,Dave Williams
Megaherz,1993,Alexander Wesselsky
Chairlift,2005,Caroline Polachek
Shining,1999,Jørgen Munkeby
Crystal Castles,2004,Alice Glass
DVDA,1996,Trey Parker
Chairlift,2005,Aaron Pfenning
Auktyon,1978,Q4332140
Auktyon,1978,Q4346217
Sexion d'Assaut,2002,Lefa
Sexion d'Assaut,2002,Doomams
Auktyon,1978,Vladimir Volkov
Fania All-Stars,1968,Ray Barretto
Sexion d'Assaut,2002,Gims
LM.C,2006,Aiji
Chairlift,2005,Patrick Wimberly
Sexion d'Assaut,2002,Maska
Sexion d'Assaut,2002,Black M
Auktyon,1978,Nikolay Rubanov
