"abbey"	"wnsimple_hypernym_direct"	"church"
"abbey"	"wnsimple_hypernym_transitive"	"artifact"
"abbey"	"wnsimple_hypernym_transitive"	"building"
"abbey"	"wnsimple_parts_direct_hypernyms"	"foyer"
"abbey"	"wnsimple_parts_direct_hypernyms"	"boiler"
"abbey"	"wnsimple_parts_direct_hypernyms"	"courtyard"
"abbey"	"wnsimple_parts_direct_hypernyms"	"storey"
"abbey"	"wnsimple_parts_direct_hypernyms"	"base"
"abbey"	"wnsimple_parts_direct_hypernyms"	"hinge"
"abbey"	"wnsimple_parts_direct_hypernyms"	"roof"
"abbey"	"wnsimple_parts_direct_hypernyms"	"room"
"abbey"	"wnsimple_parts_direct_hypernyms"	"section"
"abbey"	"wnsimple_parts_direct_hypernyms"	"wall"
"abbey"	"wnsimple_parts_direct_hypernyms"	"window"
"abbey"	"wnsimple_parts_transitive"	"ceiling"
"abbey"	"wnsimple_parts_transitive"	"door"
"abbey"	"wnsimple_parts_transitive"	"doorstep"
"abbey"	"wnsimple_parts_transitive"	"doorway"
"abbey"	"wnsimple_parts_transitive"	"floor"
"abbey"	"wnsimple_parts_transitive"	"keyhole"
"abbey"	"wnsimple_parts_transitive"	"pane"
"abbey"	"wnsimple_parts_transitive"	"stair"
"acid"	"wnsimple_hypernym_direct"	"compound"
"acid"	"wnsimple_hypernym_transitive"	"material"
"acorn"	"wnsimple_hypernym_direct"	"fruit"
"acorn"	"wnsimple_parts_direct_hypernyms"	"section"
"adder"	"wnsimple_hypernym_direct"	"viper"
"adder"	"wnsimple_hypernym_transitive"	"animal"
"adder"	"wnsimple_hypernym_transitive"	"reptile"
"adder"	"wnsimple_hypernym_transitive"	"serpent"
"adder"	"wnsimple_hypernym_transitive"	"vertebrate"
"adder"	"wnsimple_parts_direct_hypernyms"	"cell"
"adder"	"wnsimple_parts_direct_hypernyms"	"head"
"adder"	"wnsimple_parts_direct_hypernyms"	"section"
"adder"	"wnsimple_parts_direct_hypernyms"	"tail"
"adder"	"wnsimple_parts_direct_hypernyms"	"chest"
"adder"	"wnsimple_parts_transitive"	"beard"
"adder"	"wnsimple_parts_transitive"	"brain"
"adder"	"wnsimple_parts_transitive"	"bridge"
"adder"	"wnsimple_parts_transitive"	"brow"
"adder"	"wnsimple_parts_transitive"	"cheek"
"adder"	"wnsimple_parts_transitive"	"chin"
"adder"	"wnsimple_parts_transitive"	"ear"
"adder"	"wnsimple_parts_transitive"	"eyelid"
"adder"	"wnsimple_parts_transitive"	"eye"
"adder"	"wnsimple_parts_transitive"	"face"
"adder"	"wnsimple_parts_transitive"	"jaw"
"adder"	"wnsimple_parts_transitive"	"lip"
"adder"	"wnsimple_parts_transitive"	"mouth"
"adder"	"wnsimple_parts_transitive"	"moustache"
"adder"	"wnsimple_parts_transitive"	"nose"
"adder"	"wnsimple_parts_transitive"	"nucleus"
"adder"	"wnsimple_parts_transitive"	"organelle"
"adder"	"wnsimple_parts_transitive"	"skull"
"adder"	"wnsimple_parts_transitive"	"snout"
"adder"	"wnsimple_parts_transitive"	"clapper"
"adder"	"wnsimple_parts_transitive"	"vacuole"
"admiral"	"wnsimple_hypernym_direct"	"officer"
"admiral"	"wnsimple_hypernym_transitive"	"individual"
"admiral"	"wnsimple_hypernym_transitive"	"worker"
"admiral"	"wnsimple_parts_direct_hypernyms"	"cell"
"admiral"	"wnsimple_parts_direct_hypernyms"	"section"
"admiral"	"wnsimple_parts_transitive"	"nucleus"
"admiral"	"wnsimple_parts_transitive"	"organelle"
"admiral"	"wnsimple_parts_transitive"	"trait"
"admiral"	"wnsimple_parts_transitive"	"vacuole"
"admiration"	"wnsimple_hypernym_transitive"	"feeling"
"adventure"	"wnsimple_hypernym_transitive"	"activity"
"affect"	"wnsimple_hypernym_direct"	"feeling"
"afternoon"	"wnsimple_hypernym_direct"	"daylight"
"afternoon"	"wnsimple_hypernym_transitive"	"quantity"
"afternoon"	"wnsimple_hypernym_transitive"	"period"
"afternoon"	"wnsimple_parts_direct_hypernyms"	"morning"
"aircraft"	"wnsimple_hypernym_direct"	"craft"
"aircraft"	"wnsimple_hypernym_transitive"	"artifact"
"aircraft"	"wnsimple_hypernym_transitive"	"vehicle"
"aircraft"	"wnsimple_parts_direct"	"canopy"
"aircraft"	"wnsimple_parts_direct_hypernyms"	"section"
"aeroplane"	"wnsimple_hypernym_direct"	"aircraft"
"aeroplane"	"wnsimple_hypernym_transitive"	"artifact"
"aeroplane"	"wnsimple_hypernym_transitive"	"craft"
"aeroplane"	"wnsimple_hypernym_transitive"	"vehicle"
"aeroplane"	"wnsimple_parts_direct"	"rudder"
"aeroplane"	"wnsimple_parts_direct_hypernyms"	"canopy"
"aeroplane"	"wnsimple_parts_direct_hypernyms"	"section"
"alarm"	"wnsimple_hypernym_direct"	"clock"
"alarm"	"wnsimple_hypernym_transitive"	"artifact"
"alarm"	"wnsimple_hypernym_transitive"	"instrument"
"alarm"	"wnsimple_parts_direct_hypernyms"	"section"
"albatross"	"wnsimple_hypernym_transitive"	"animal"
"albatross"	"wnsimple_hypernym_transitive"	"bird"
"albatross"	"wnsimple_hypernym_transitive"	"vertebrate"
"albatross"	"wnsimple_parts_direct_hypernyms"	"cell"
"albatross"	"wnsimple_parts_direct_hypernyms"	"feather"
"albatross"	"wnsimple_parts_direct_hypernyms"	"head"
"albatross"	"wnsimple_parts_direct_hypernyms"	"section"
"albatross"	"wnsimple_parts_direct_hypernyms"	"tail"
"albatross"	"wnsimple_parts_direct_hypernyms"	"chest"
