person,spouse
Cathy Berberian,Luciano Berio
Jaime Ray Newman,Guy Nattiv
Anita Page,Nacio Herb Brown
Tabitha King,Stephen King
Rob Reiner,Penny Marshall
Óscar de la Renta,Annette de la Renta
John Romero,Brenda Romero
Óscar de la Renta,Françoise de Langlade
Sam Waterston,Lynn Louisa Woodruff
Sam Waterston,Barbara Rutledge Johns
Rhonda Fleming,Hall Bartlett
Cara Buono,Peter Thum
Vicki Lawrence,Bobby Russell
Christina Moore,John Ducey
William A. Wellman,Dorothy Wellman
Patrick S. Moore,Yuan Chang
George Gaynes,Allyn Ann McLerie
Nancy Allen,Brian De Palma
Nancy Allen,Craig Shoemaker
Bart Freundlich,Julianne Moore
Jack Klugman,Brett Somers
Mary Anderson,Leon Shamroy
Olga Baclanova,Nicholas Soussanin
John Schneider,Tawny Little
Anne Sweeney,Q46993726
Dick Powell,Joan Blondell
Arielle Dombasle,Bernard-Henri Lévy
Anne Sinclair,Dominique Strauss-Kahn
Deems Taylor,Jane Anderson
Elliot Silverstein,Evelyn Ward
Dorothy Provine,Robert Day
Karyn Parsons,Randy Brooks
Bella Davidovich,Julian Sitkovetsky
Dick Powell,June Allyson
Moon Zappa,Paul Doucette
Kevin McCarthy,Augusta Dabney
Nancy Ludington,Ronald Ludington
Harlow Shapley,Martha Betz Shapley
Diora Baird,Jonathan Torres
L. C. Hughes,Josephine Brawley Hughes
Elizabeth Jane Gardner,William-Adolphe Bouguereau
Elliott Erwitt,Pia Frankenberg
Ruth Chatterton,Ralph Forbes
Faye Emerson,Elliott Roosevelt
Karyn Parsons,Alexandre Rockwell
Faye Emerson,Skitch Henderson
Anne Sinclair,Ivan Levaï
Aaron Sachs,Helen Merrill
Faune A. Chambers,Fonzworth Bentley
Harold Perrineau,Brittany Perrineau
Richard Marx,Daisy Fuentes
Garret Hobart,Jennie Tuttle Hobart
E. Donnall Thomas,Dottie Thomas
George M. Dallas,Sophia Dallas
Bobby Darin,Sandra Dee
Timothy Hutton,Aurore Giscard d'Estaing
Ricky Nelson,Kristin Nelson
Thomas A. Hendricks,Eliza Hendricks
James Longstreet,Helen Dortch Longstreet
Scott Bakula,Chelsea Field
Jon Cryer,Lisa Joyner
Marlon Wayans,Essence Atkins
Richard Avedon,Doe Avedon
Freddie Prinze,Sarah Michelle Gellar
Adrian Pasdar,Natalie Maines
Stephen Baldwin,Kennya Deodato
Thurgood Marshall,Vivian Burey Marshall
Michael Bolton,Maureen McGuire
Jack Kirby,Roz Kirby
John Jay,Sarah Jay
Erskine Caldwell,Margaret Bourke-White
Tyrone Power,Annabella
Tyrone Power,Deborah Jean Smith
John Densmore,Leslie Neale
Neil deGrasse Tyson,Alice Young
Aaron Paul,Lauren Parsekian
Jim Cummings,Stephanie Cummings
Peter Dinklage,Erica Schmidt
Scott Bakula,Krista Neumann
Chris Engler,Kevin P. Engler
Tyrone Power,Linda Christian
Abbott Lawrence Rotch,Margaret Randolph Rotch
Sam Elliott,Katharine Ross
Abby Aldrich Rockefeller,John D. Rockefeller Jr.
Isaac Stern,Nora Kaye
Young Buck,Tanee McCall
César Pelli,Diana Balmori Ling
A Martinez,Mare Winningham
Napoleon Hill,Q50356665
Napoleon Hill,Q50356683
Naum Gabo,Q78452179
James Taylor,Kathryn Walker
Alan Alda,Arlene Alda
Robert Wagner,Jill St. John
Pete Candoli,Edie Adams
Alfred L. Kroeber,Theodora Kroeber
Napoleon Hill,Blair Hill
Jeff Bennett,Susan E. Welby
Michael Lewis,Kate Bohner
Stanley Fish,Jane Tompkins
Pete Candoli,Betty Hutton
Ice-T,Coco Austin
James S. Sherman,Carrie Babcock Sherman
Tico Torres,Eva Herzigová
Edward Furlong,Rachael Bella
Isaac Singer,Isabella Eugenie Boyer
Johnny Carson,Jody Morrill Wolcott
John Reed,Louise Bryant
George Balanchine,Tamara Geva
"Aaron Burr, Sr.",Esther Edwards Burr
William A. Wheeler,Mary King Wheeler
Johnny Carson,Alexis Maas
Robert Wagner,Natalie Wood
James Taylor,Carly Simon
Chris Diamantopoulos,Becki Newton
Stephen Foster,Jane McDowell Foster Wiley
Bobby Brown,Whitney Houston
Craig Venter,Claire M. Fraser
George Balanchine,Tanaquil Le Clercq
Robert Wagner,Marion Marshall
Bill Richardson,Barbara Richardson
George Balanchine,Maria Tallchief
George Balanchine,Vera Zorina
Johnny Carson,Joanne Copeland
Dennis Kucinich,Sandra Lee McCarthy
Fay Kanin,Michael Kanin
Michael Lewis,Tabitha Soren
Adlai Stevenson I,Letitia Stevenson
Tate Donovan,Corinne Kingsbury
Johnny Carson,Joanna Holland
Ben Browder,Francesca Buller
Melvyn Douglas,Helen Gahagan Douglas
Dennis Kucinich,Elizabeth Kucinich
Joel McHale,Sarah Williams
Warner Baxter,Winifred Bryson
Don Johnson,Melanie Griffith
Craig Venter,Barbara Rae-Venter
Paul Adelstein,Liza Weil
Martin Balsam,Joyce Van Patten
Schuyler Colfax,Ellen Maria Colfax
John Connally,Nellie Connally
Grant Hill,Tamia
Patrick Henry,Sarah Shelton Henry
James Taylor,"Caroline ""Kim"" Smedvig"
Paul Greengard,Ursula von Rydingsvard
Jeff Bezos,Mackenzie Bezos
G. Evelyn Hutchinson,Grace Evelyn Pickford
Erica Boyer,Derrick Jensen
Amy Wright,Rip Torn
Marjorie Lord,John Archer
Tracy Pollan,Michael J. Fox
Kay Lenz,David Cassidy
Virginia Christine,Fritz Feld
Susan Anspach,Mark Goddard
Evelyn Venable,Hal Mohr
Louise Dresser,Jack Norworth
"Grace Curzon, Marchioness Curzon of Kedleston","George Curzon, 1st Marquess Curzon of Kedleston"
Audie England,Peter M. Lenkov
Ashley Walden,Bengt Walden
Lynn Morley Martin,Harry Daniel Leinenweber
Jamaica Kincaid,Allen Shawn
Judith Merril,Frederik Pohl
Dina Spybey,Mark Waters
Gladys Vanderbilt Széchenyi,László Széchenyi
Linda Purl,"Alexander Cary, Master of Falkland"
Jeri Taylor,Dick Enberg
Victoria Horne,Jack Oakie
Mariska Hargitay,Peter Hermann
Madlyn Rhue,Tony Young
Linda Purl,"Desi Arnaz, Jr."
Elizabeth Franz,Edward Binns
Linda Purl,"William Broyles, Jr."
Franklin Delano Roosevelt Jr.,Ethel du Pont
Ellen Drew,Sy Bartlett
Kristen Dalton,Darren Dalton
Bebe Barron,Louis Barron
Mary Philips,Humphrey Bogart
Doris Kenyon,Milton Sills
Dorothy Thompson,Joseph Bard
Dorothy Thompson,Sinclair Lewis
Jeff Donnell,Aldo Ray
Mary Philips,Kenneth MacKenna
Robin Mattson,Werner Roth
Doris Kenyon,Albert Lasker
Dorothy Thompson,Maxim Kopf
Lina Basquette,John Peverell Marley
Lina Basquette,Henry Mollison
Martín Torrijos,Vivian Fernández
Geraldine Brooks,Budd Schulberg
Lina Basquette,Sam Warner
Constance Dowling,Ivan Tors
Margaret Ladd,Lyle Kessler
Genie Francis,Jonathan Frakes
Michael Emerson,Carrie Preston
Patricia Owens,Sy Bartlett
Susan Tedeschi,Derek Trucks
Elizebeth Smith Friedman,William F. Friedman
Sam Raimi,Gillian Greene
"Consuelo Montagu, Duchess of Manchester","George Montagu, 8th Duke of Manchester"
Steve Lukather,Shawn Batten
Booker T. Washington,Olivia A. Davidson
Dimitri Tiomkin,Albertina Rasch
Louis B. Mayer,Lorena Layson
Herb Geller,Lorraine Geller
Artie Shaw,Ava Gardner
Ray Dennis Steckler,Carolyn Brandt
Booker T. Washington,Fannie Smith Washington
Tobias Picker,Aryeh Lev Stollman
Allen Welsh Dulles,Clover Todd Dulles
Jack Beeson,Nora Beeson
Strom Thurmond,Nancy Janice Moore
Strom Thurmond,Jean Crouch Thurmond
Claude Rains,Isabel Jeans
John Fante,Joyce Fante
Vincent D'Onofrio,Greta Scacchi
Artie Shaw,Lana Turner
Artie Shaw,Doris Dowling
Artie Shaw,Kathleen Winsor
Lloyd Bridges,Dorothy Bridges
Henry Clay,Lucretia Hart Clay
Roger Corman,Julie Corman
Elon Musk,Talulah Riley
Artie Shaw,Evelyn Keyes
Roger Fouts,Deborah Fouts
Marco Rubio,Jeanette Dousdebes Rubio
Archie Bunker,Edith Bunker
Arthur Hays Sulzberger,Iphigene Ochs Sulzberger
Jeffrey Sachs,Sonia Ehrlich Sachs
Chubby Checker,Catharina Lodders
Spalding Gray,Renée Shafransky
Aron Eisenberg,Malissa Longo
Mary Wells Lawrence,Harding Lawrence
Jerry Stiller,Anne Meara
Deron Miller,Felissa Rose
Louis B. Mayer,Margaret Shenberg
Sheldon Adelson,Miriam Adelson
Dylan Walsh,Melora Walters
Dylan Walsh,Joanna Going
Carl Bernstein,Nora Ephron
Wallace Beery,Gloria Swanson
Lou Diamond Phillips,Julie Cypher
Edward Hitchcock,Orra White Hitchcock
Justin Theroux,Jennifer Aniston
Cameron Crowe,Nancy Wilson
Greg Bear,Astrid Anderson Bear
Bob Dole,Elizabeth Dole
Stephen Van Rensselaer,Peggy Schuyler
Michael Flatley,Niamh O'Brien
Larry Niven,Marilyn Niven
Charles S. Maier,Pauline Maier
Mako,Shizuko Hoshi
Sidney Luft,Lynn Bari
Jean Paul Getty,Ann Rork Light
Eugene Braunwald,Nina Starr Braunwald
Sargent Shriver,Eunice Kennedy Shriver
Randy Newman,Gretchen Preece
Michael Flatley,Beata Dziaba
Stephen Elliott,Alice Hirson
Renny Harlin,Geena Davis
Edward McKnight Kauffer,Marion Dorn
Ray Kroc,Joan Kroc
Daniel Boone,Rebecca Boone
Johnny Ramone,Linda Ramone
Randy Quaid,Evi Quaid
Lawrence Summers,Elisa New
J.D.,Elliot Reid
Jean Paul Getty,Theodora Getty Gaston
Bryan Greenberg,Jamie Chung
Gabriel Macht,Jacinda Barrett
Clint Black,Lisa Hartman
Michael Dukakis,Kitty Dukakis
Sidney Luft,Judy Garland
Harpo Marx,Susan Fleming
Sidney Luft,Camille Keaton
Prescott Bush,Dorothy Walker Bush
Jack Johnson,Etta Terry
Keenen Ivory Wayans,Daphne Wayans
Lawrence Summers,Victoria Perry
Brian Grazer,Gigi Levangie Grazer
Goran Višnjić,Eva Višnjić
Richard Widmark,Jean Hazlewood
Richard Widmark,Susan Blanchard
Neil Bush,Sharon Smith
Colin Hanks,Samantha Bryant
Oscar Hammerstein II,Dorothy Hammerstein
Martin Cooper,Arlene Harris
Ole Bull,Sarah C. Thorpe Bull
Ross Macdonald,Margaret Millar
Abigail Spencer,Andrew Pruett
Jeffrey Tambor,Kasia Ostlun
Claude Rains,Agi Jambor
Booker T. Washington,Margaret Murray Washington
A. P. Carter,Sara Carter
Sterling Hayden,Madeleine Carroll
Elon Musk,Justine Musk
Abhijit Banerjee,Esther Duflo
Oliver Wendell Holmes,Amelia Lee Jackson
"Sammy Davis, Sr.",Elvera Sanchez
Irving Penn,Lisa Fonssagrives
David Arquette,Courteney Cox
Randi Zuckerberg,Brent Tworetzky
Bernard Herrmann,Lucille Fletcher
John Leguizamo,Yelba Osorio
Stacy Haiduk,Bradford Tatum
Kelis,Nas
Karlie Kloss,Joshua Kushner
Aaron Spelling,Carolyn Jones
Aaron Spelling,Candy Spelling
Aaron Sorkin,Julia Bingham
Joseph Campbell,Jean Erdman
Two-Face,Gilda Dent
John Nance Garner,Mariette Rheiner Garner
Carole Bayer Sager,Robert A. Daly
Jane Byrne,Jay McMullen
Sam Shepard,O-Lan Jones
Betty Davis,Miles Davis
William Randolph Hearst,Millicent Hearst
Martin Landau,Barbara Bain
James Randi,Deyvi Orangel Peña Arteaga
Monica Horan,Philip Rosenthal
Andrei Kirilenko,Masha Kirilenko
Benedict Arnold,Peggy Shippen
Richie Sambora,Heather Locklear
Levi P. Morton,Anna Morton
John Leguizamo,Justine Maurer
John Philip Sousa,Jane Bellis Sousa
Tony Bennett,Sandra Grant Bennett
Mikhail Baryshnikov,Lisa Rinehart
Richard J. Daley,"Eleanor ""Sis"" Daley"
Thomas Riley Marshall,Lois Irene Marshall
Lionel Barrymore,Doris Rankin
Ellen G. White,James White
Lionel Barrymore,Irene Fenwick
Daniel Bryan,Brie Bella
Dr. Seuss,Helen Palmer Geisel
James Cromwell,Julie Cobb
Matthew Morrison,Renee Puente
Dr. Seuss,Audrey Geisel
Betty Freeman,Franco Assetto
Robin Swicord,Nicholas Kazan
Rob Zombie,Sheri Moon Zombie
Sunny von Bülow,Claus von Bülow
Mary Anna Custis Lee,Robert E. Lee
Marissa Ribisi,Beck
Ben Gazzara,Louise Erickson
Leigh Brackett,Edmond Hamilton
"Lamar ""Crack"" Odom",Liza Morales
Madeleine Bordallo,Ricardo Bordallo
Eric Dane,Rebecca Gayheart
Peter Stormare,Karen Sillas
Aviva Baumann,Ken Baumann
Carter Harrison,Edith Ogden Harrison
Sherry Lansing,William Friedkin
Lee Strasberg,Paula Strasberg
H. Robert Horvitz,Martha Constantine-Paton
John Wayne Gacy,Carole Hoff
Jason Robards,Lauren Bacall
Christy Walton,John T. Walton
Eleanor J. Gibson,James J. Gibson
Ralph Lauren,Ricky Lauren
Jeff Koons,Ilona Staller
Tom Kenny,Jill Talley
Cathy McMorris Rodgers,Brian Rodgers
Delta Burke,Gerald McRaney
Pauline de Rothschild,Philippe de Rothschild
Mercedes Lackey,Larry Dixon
Alvin Toffler,Heidi Toffler
John Wayne Gacy,Marylynn Myers
Carolee Schneemann,James Tenney
Ben Gazzara,Janice Rule
Fred Thompson,Jeri Kehn Thompson
Bam Margera,Missy Margera
Adam Brody,Leighton Meester
Joe DiMaggio,Marilyn Monroe
Marshall Allman,Jamie Anne Allman
Priscilla Ahn,Michael Weston
Betsy Nagelsen,Mark McCormack
William H. Seward,Frances Adeline Seward
Megyn Kelly,Douglas Brunt
Bobby Jindal,Supriya Jindal
Dolores Hope,Bob Hope
Pat Morita,Evelyn Guerrero
Sam Harris,Annaka Harris
Carole Bayer Sager,Burt Bacharach
Mark Harmon,Pam Dawber
Ellie Greenwich,Jeff Barry
Lynda Day George,Christopher George
Paul Stanley,Pamela Bowen
Sammy Davis Jr.,May Britt
Mathilde Bonnefoy,Dirk Wilutzky
Cody Rhodes,Brandi Reed
Philip Zimbardo,Christina Maslach
Sammy Davis Jr.,Altovise Davis
Brandon Routh,Courtney Ford
Richard Pryor,Deborah McGuire
Joe DiMaggio,Dorothy Arnold
Clifford D. Simak,Kay Kuchenberg Simak
Brian Austin Green,Megan Fox
George Wallace,Lurleen Brigham Burns Wallace
John Carradine,Sonia Sorel
James Shaffer,Evis Xheneti
Hal Holbrook,Dixie Carter
Roscoe Arbuckle,Minta Durfee
Robert Penn Warren,Eleanor Clark
Harry Connick Jr.,Jill Goodacre
Michel Fokine,Vera Fokina
William Baldwin,Chynna Phillips
Alexander Payne,Sandra Oh
Frederik Pohl,Carol Ulf Stanton
Frederik Pohl,Elizabeth Anne Hull
Roscoe Arbuckle,Addie McPhail
Daniel Inouye,Irene Hirano
Donnie Wahlberg,Jenny McCarthy
Nguyen Van Thieu,Nguyen Thi Mai Anh
Roscoe Arbuckle,Doris Deane
Robert Silverberg,Karen Haber
Edward Burns,Christy Turlington
Tommy Dreamer,Trisa Hayes
Gregory Bateson,Margaret Mead
Jason Momoa,Lisa Bonet
Bruce Sterling,Jasmina Tešanović
Carl Van Vechten,Fania Marinoff
Carl Andre,Ana Mendieta
Casper Van Dien,Catherine Oxenberg
Matt Dallas,Blue James Hamilton
Chris Hardwick,Lydia Hearst-Shaw
George Lakoff,Robin Lakoff
Jeff Gordon,Ingrid Vandebosch
Tom Brady,Gisele Bündchen
Jon Hamm,Jennifer Westfeldt
Robert K. Merton,Harriet Zuckerman
Rip Torn,Geraldine Page
Rip Torn,Amy Wright
Jerry Garcia,Carolyn Garcia
Joe Flanigan,Q71193133
Ben McKenzie,Morena Baccarin
Mark Dacascos,Julie Condra
Russ Meyer,Edy Williams
Eddie Albert,Margo
Henry Wilson,Harriet Malvina Wilson
Alfred Stieglitz,Georgia O'Keeffe
Stacy Keach,Malgosia Tomassi
Russ Meyer,Eve Meyer
Carlos Bernard,Tessie Santiago
Peter Sarsgaard,Maggie Gyllenhaal
Jack Dempsey,Estelle Taylor
James Van Der Beek,Heather McComb
George P. Shultz,Charlotte Mailliard
A. E. van Vogt,Edna Mayne Hull
James Van Der Beek,Kimberly Van Der Beek
Alan Silvestri,Sandra Silvestri
Louis Begley,Anka Muhlstein
Michel Legrand,Catherine Michel
Brian Littrell,Leighanne Wallace
John Krasinski,Emily Blunt
James Brolin,Barbra Streisand
James Whitmore,Audra Lindley
Kevin Sorbo,Sam Jenkins
Tommy Dorsey,Patricia Dane
"Joseph P. Kennedy, Sr.",Rose Kennedy
Rip Torn,Ann Wedgeworth
Brian Wilson,Marilyn Wilson
Brian Wilson,Melinda Ledbetter
Stacy Keach,Jill Donohue
Michel Legrand,Macha Méril
Jackie Coogan,Betty Grable
Bob Fosse,Jennifer Nairn-Smith
Bob Fosse,Gwen Verdon
Bob Fosse,Joan McCracken
Cornelius Vanderbilt,Frank Armstrong Crawford Vanderbilt
Louis Begley,Sally Higginson
John Carradine,Ardanelle McCool
Huey Long,Rose McConnell Long
Brad Falchuk,Gwyneth Paltrow
David Otunga,Jennifer Hudson
Phil Anselmo,Stephanie Opal Weinstein
Fred Perry,Helen Vinson
James Brolin,Jan Smithers
Michael Chabon,Ayelet Waldman
John DiMaggio,Kate Miller
Frederik Pohl,Leslie Perri
James Whitmore,Noreen Nash
John Ritter,Amy Yasbeck
John Ritter,Nancy Morgan
Hal Holbrook,Carol Eve Rossen
Richard Jenkins,Sharon R. Friedrick
Charles Evans Hughes,Antoinette Ellen Carter Hughes
Andy Samberg,Joanna Newsom
John Houseman,Zita Johann
Frederik Pohl,Judith Merril
Goldust,Terri Runnels
George Wallace,Cornelia Wallace
Misha Collins,Victoria Vantoch
Jason Biggs,Jenny Mollen
David McCallum,Jill Ireland
Jonathan Torres,Diora Baird
David O. Russell,Janet Grillo
Hendrik S. Houthakker,Anna-Teresa Tymieniecka
Reb Brown,Cisse Cameron
Don Siegel,Doe Avedon
Bruce Dern,Diane Ladd
Michael Kanin,Fay Kanin
Mark Kelly,Gabrielle Giffords
Anthony Franciosa,Shelley Winters
Adolphe Menjou,Verree Teasdale
Charles Doolittle Walcott,Mary Vaux Walcott
Xander Berkeley,Sarah Clarke
Laurence Luckinbill,Robin Strasser
Francis Wilkinson Pickens,Lucy Pickens
James A. Michener,Mari Yoriko Sabusawa
Scott Tremaine,Marilyn Tremaine
Serge Wolkonsky,Mary Walker Fearn Wolkonsky
Dermot Mulroney,Catherine Keener
Matthew M. Neely,Alberta Ramage Neely
Jeff Sessions,Mary Blackshear
Joseph Jenkins Roberts,Jane Rose Roberts
George Pullman,Harriett Sanger Pullman
Richard D. Zanuck,Linda Harrison
James Roosevelt,Betsey Cushing Roosevelt Whitney
Richard D. Zanuck,Lili Gentle
Reinhold Niebuhr,Ursula Niebuhr
Caitlyn Jenner,Chrystie Scott
Paul Bowles,Jane Bowles
Bob Seger,Annette Sinclair
Laurence Luckinbill,Lucie Arnaz
Morgan Spurlock,Alex Jamieson
Richard Ney,Greer Garson
László Lovász,Katalin Vesztergombi
Nikki Sixx,Donna D'Errico
Caitlyn Jenner,Linda Thompson
David Faustino,Andrea Faustino
Eli Roth,Lorenza Izzo
Armand Hammer,Frances Hammer
Tim Kaine,Anne Holton
Scott Foley,Marika Domińczyk
Danny Huston,Virginia Madsen
Jonathan Safran Foer,Nicole Krauss
Nikki Sixx,Brandi Brandt
George Madison,Jane Smith
Irvin Yalom,Marilyn Yalom
Paul Schrader,Mary Beth Hurt
Caitlyn Jenner,Kris Jenner
George Fawcett,Percy Haswell
Sam Simon,Jami Ferrell
Nikki Sixx,Courtney Sixx
Kevin Peter Hall,Alaina Reed Hall
Scott Foley,Jennifer Garner
Breckin Meyer,Deborah Kaplan
Benjamin Morrell,Abby Jane Morrell
Gray Davis,Sharon Davis
George Hamilton,Alana Stewart
Eddie Fisher,Elizabeth Taylor
Eddie Fisher,Connie Stevens
Eddie Fisher,Debbie Reynolds
Claudio Reyna,Danielle Egan
Eliot Ness,Evaline Ness
Carroll Nye,Helen Lynch
Bud Yorkin,Cynthia Sikes
Lew Wallace,Susan Wallace
Geoffrey Burbidge,Margaret Burbidge
Alexandr Hackenschmied,Maya Deren
David O'Connor,Karen O'Connor
Edward R. Pressman,Annie McEnroe
Haley Barbour,Marsha Barbour
Adolph Knopf,Eleanora Knopf
Oliver Wendell Holmes,Fanny Bowditch Dixwell Holmes
Darryl F. Zanuck,Virginia Fox
John D. Rockefeller Jr.,Abby Aldrich Rockefeller
John Peabody Harrington,Carobeth Laird
Billy Dee Williams,Marlene Clark
Sam Simon,Jennifer Tilly
Ralph Bellamy,Ethel Smith
Vince Neil,Heidi Mark
E. B. White,Katharine Sergeant Angell White
Scott Ian,Pearl Aday
Bud Yorkin,Peg Yorkin
William G. Conley,Bertie Ison Martin Conley
Bernie Sanders,Jane O'Meara Sanders
Joe Jackson,Katherine Jackson
Chris Sarandon,Susan Sarandon
Hal Ashby,Joan Marshall
Walt Whitman Rostow,Elspeth Rostow
Dave Barbour,Peggy Lee
Daniel Pearl,Mariane Pearl
Adolphe Menjou,Kathryn Carver
Bernard Berenson,Mary Berenson
John D. Rockefeller Jr.,Martha Baird
Billy Dee Williams,Teruko Nakagami
John Singleton,Akosua Busia
Don Siegel,Viveca Lindfors
Arthur William Radford,Miriam J. Caro
Chris Sarandon,Joanna Gleason
Gregor Piatigorsky,Jacqueline Piatigorsky
Bernie Sanders,Deborah Shiling Messing
William Labov,Gillian Sankoff
David Cross,Amber Tamblyn
Greg Serano,Carmen Serano
Bradford Washburn,Barbara Washburn
Adolph Green,Phyllis Newman
George Foster Peabody,Katrina Trask
Edwin Howard Armstrong,Esther Marion Armstrong
Sara Haden,Richard Abbott
Mike Wallace,Buff Cobb
Chris Baldwin,Kimberly Baldwin
Nat Turner,Cherry Turner
John Whiteside Parsons,Marjorie Cameron
Conrad Hilton,Zsa Zsa Gabor
"John Jacob Astor, 1st Baron Astor of Hever","Violet Astor, Baroness Astor of Hever"
"Desi Arnaz, Jr.",Linda Purl
Judith Barrett,Cliff Edwards
Sanford B. Dole,Anna Cate Dole
Theodore Sedgwick,Pamela Dwight Sedgwick
Mel Ferrer,Audrey Hepburn
John Pasquin,JoBeth Williams
Knut Schmidt-Nielsen,Bodil Schmidt-Nielsen
Judith Barrett,Lindsay C. Howard
Jason Rhoades,Rachel Khedoori
David K. E. Bruce,Ailsa Mellon Bruce
David Henry Hwang,Kathryn Layng
Brad Harris,Olga Schoberová
Douglas Tompkins,Susie Tompkins Buell
Kenneth O'Donnell,Helen O'Donnell
Jackson Douglas,Alex Borstein
"Edgar Bronfman, Sr.",Jan Aronson
Peter Lieberson,Lorraine Hunt Lieberson
Skitch Henderson,Faye Emerson
Morris Swadesh,Mary Haas
David Mansfield,Maggie Greenwald
"Michael Stewart, Baron Stewart of Fulham","Mary Stewart, Baroness Stewart of Alvechurch"
William Prince,Augusta Dabney
Brad Norton,Tiffany Granath
Judd Apatow,Leslie Mann
Will Durant,Ariel Durant
Douglas Tompkins,Kris Tompkins
Gerald McRaney,Delta Burke
Alfred Korzybski,Mira Edgerly-Korzybska
Abraham S. Luchins,Edith Hirsch Luchins
Art Spiegelman,Françoise Mouly
Vincent Schiavelli,Allyce Beasley
Norton Simon,Jennifer Jones
Chief Ouray,Chipeta
Sean Parker,Alexandra Lenas
John Hubley,Faith Hubley
Marian Zazeela,La Monte Young
Michael Zaslow,Susan Hufford
Betty Blythe,Paul Scardon
Ty Hardin,Marlene Schmidt
Jay C. Flippen,Ruth Brooks Flippen
Craig T. Nelson,Doria Cook-Nelson
Norman D. Vaughan,Carolyn Muegge Vaughan
Daredevil,Milla Donovan
Michael Zaslow,Joanne Dorian
Robert Sterling,Ann Sothern
Robert Sterling,Anne Jeffreys
Ty Hardin,Andra Martin
Shiing-Shen Chern,Zheng Shining
John Paul Getty Jr.,Talitha Getty
Robert Sterling Clark,Francine Clark
Tommy Lee,Heather Locklear
George McGovern,Eleanor McGovern
Richard Cragun,Marcia Haydée
The Ultimate Warrior,Dana Warrior
Peter Benchley,Wendy Benchley
Viola Barry,Jack Conway
Brad Garrett,Jill Diven
Abram Chasins,Constance Keene
Pierre Matisse,Alexina Duchamp
Pierre Matisse,Maria-Gaetana von Spreti
Léon Theremin,Lavinia Williams
Bradley Whitford,Amy Landecker
Dom DeLuise,Carol Arthur
Jeff Barry,Ellie Greenwich
Burgess Meredith,Paulette Goddard
Roy O. Disney,Edna Disney
KC Boutiette,Jennifer Rodriguez
Wilfrid Voynich,Ethel Lilian Voynich
Jonathan Frakes,Genie Francis
Kevin J. Anderson,Rebecca Moesta
Marilyn Hassett,Larry Peerce
William Russo,Shelby Jean Davis
Frankie Laine,Nan Grey
Richard Long,Mara Corday
Lee Ranaldo,Leah Singer
Leo Gordon,Lynn Cartwright
Len Wiseman,Kate Beckinsale
Audie Murphy,Wanda Hendrix
Jeffrey Dean Morgan,Hilarie Burton
Todd Sand,Jenni Meno
Thomas Nagel,Anne Hollander
Elijah Muhammad,Clara Muhammad
Howard Dean,Judith Steinberg Dean
Adam Curry,Patricia Paay
Dean Stockwell,Millie Perkins
George Kruck Cherrie,Stella May Cherrie
Beverly Bayne,Francis X. Bushman
Dean Potter,Steph Davis
Jeffrey Wright,Carmen Ejogo
Adam Rayner,Lucy Brown
Adam Curry,Micky Hoogendijk
Tom Mix,Victoria Forde
Chris Noth,Tara Lynn Wilson
John Wesley Powell,Emma Dean Powell
Joe Haldeman,Gay Haldeman
Tim Daly,Amy Van Nostrand
Adam J. Slemmer,Caroline Lane Reynolds Slemmer Jebb
Jim Cronin,Alison Cronin
Alan Ladd,Sue Carol
Eugene Ormandy,Stephanie Goldner
Steven Brill,Ruthanna Hopper
Rosanna DeSoto,David S. Ward
Damon Dash,Aaliyah
Damon Dash,Rachel Roy
Lucien Ballard,Merle Oberon
Harry Shum,Shelby Rabara
Harry Shearer,Judith Owen
Gig Young,Elizabeth Montgomery
Gary Johnson,Dee Johnson
Adam Nimoy,Terry Farrell
Bill Rancic,Giuliana Rancic
Freddie Hubbard,Brenda Hubbard
Seymour Papert,Sherry Turkle
Harry Shearer,Penny Nichols
Jimmy Fallon,Nancy Juvonen
David Greenglass,Ruth Greenglass
Gary Locke,Mona Lee Locke
Christopher Guest,Jamie Lee Curtis
Wayne Allwine,Russi Taylor
Seymour Papert,Suzanne Massie
James Duane,Mary Livingston
Patrick Wilson,Dagmara Dominczyk
Princess Donna,Tuck Mayo
Carl Eckart,Klara Dan von Neumann
Jake LaMotta,Vikki LaMotta
Rainn Wilson,Holiday Reinhorn
Evan Bayh,Susan Bayh
Edward Weston,Charis Wilson
Adam Hochschild,Arlie Russell Hochschild
George Burns,Gracie Allen
Stephen Curry,Ayesha Curry
Babyface,Tracey Edmonds
Xavier Cugat,Lina Romay
Alessandro Nivola,Emily Mortimer
Claire Windsor,Bert Lytell
Stirling Silliphanta,Tiana Alexandra
Mignon Anderson,J. Morris Foster
Rob Morrow,Debbon Ayer
The-Dream,Christina Milian
Xavier Cugat,Charo
Bill Withers,Denise Nicholas
Donald O'Connor,Dan Dailey
The-Dream,Nivea
Tom Sizemore,Maeve Quinlan
Ian Ziering,Nikki Ziering
Xavier Cugat,Abbe Lane
Ad-Rock,Kathleen Hanna
Gene Autry,Jackie Autry
Josh Randall,Claire Rankin
George W. Hill,Frances Marion
Mickey Mantle,Merlyn Mantle
Pedro Albizu Campos,Laura Meneses
Howard Stern,Beth Ostrosky Stern
Lee J. Cobb,Helen Beverley
Herb Alpert,Lani Hall
William Averell Harriman,Pamela Harriman
William Averell Harriman,Marie Norton Harriman
Xavier Cugat,Rita Montaner
Ada Smith,Peter DuConge
