person,spouse
Sidney Lumet,Gail Lumet Buckley
Marilyn Monroe,Arthur Miller
Bruce Willis,Demi Moore
Mireille Enos,Alan Ruck
Vincente Minnelli,Judy Garland
Stanley Kubrick,Ruth Sobotka
Albert II,"Charlene, Princess of Monaco"
Jimmy Wales,Pamela Green
Lionel Richie,Brenda Harvey-Richie
Barack Obama,Michelle Obama
Shawn Michaels,Rebecca Curci-Hickenbottom
Jenna Jameson,Jay Grdina
Trey Hardee,Chelsea Johnson
Lionel Richie,Diane Alexander
William Wyler,Margaret Sullavan
William Wyler,Margaret Tallichet
Noam Chomsky,Carol Chomsky
Buzz Aldrin,Lois Driggs Cannon
Stanford R. Ovshinsky,Iris M. Ovshinsky
Paul Simon,Carrie Fisher
Mike Nichols,Annabel Davis-Goff
Sidney Lumet,Gloria Vanderbilt
Kathleen Sebelius,K. Gary Sebelius
Mary Jane Watson,Spider-man
Barbra Streisand,Elliott Gould
David Petraeus,Holly Knowlton
Barbra Streisand,James Brolin
Ann Druyan,Carl Sagan
Ashley Harkleroad,Alex Bogomolov
Ezra Klein,Annie Lowrey
Zach Gilford,Kiele Sanchez
Anton LaVey,Blanche Barton
Patti Smith,Fred Smith
Corbin Bleu,Sasha Clements
Matthew Broderick,Sarah Jessica Parker
Michael Curtiz,Bess Meredyth
Miloš Forman,Jana Brejchová
Troian Bellisario,Patrick J. Adams
Steven Spielberg,Kate Capshaw
Mike Nichols,Diane Sawyer
David Draiman,Lena Yada
Miloš Forman,Martina Formanová
Michael Curtiz,Lucy Doraine
Miloš Forman,Věra Křesadlová
Jennifer Aniston,Brad Pitt
Bonnie J. Dunbar,Ronald M. Sega
Woody Guthrie,Marjorie Guthrie
Bob Dylan,Sara Dylan
D. W. Griffith,Linda Arvidson
Herman Melville,Elizabeth Knapp Melville
Anna Faris,Chris Pratt
Stevie Wonder,Syreeta Wright
Peter Griffin,Lois Griffin
Miley Cyrus,Liam Hemsworth
George Washington,Martha Washington
Grace Kelly,Rainier III
Michael Jackson,Lisa Marie Presley
Michael Curtiz,Lili Damita
Tara Strong,Craig Strong
Bob Dylan,Carolyn Dennis
Danny DeVito,Rhea Perlman
Jennifer Aniston,Justin Theroux
Richard Nixon,Pat Nixon
Carlos Pena Jr,Alexa Vega
Cass Elliot,Donald von Wiedenman
Carol Greider,Nathaniel C. Comfort
Albert Einstein,Elsa Einstein
Quentin Tarantino,Daniella Pick
John F. Kennedy,Jacqueline Kennedy Onassis
George W. Bush,Laura Bush
Gerald Ford,Betty Ford
Michael Chekhov,Olga Chekhova
Carl Sagan,Linda Salzman Sagan
Larry Page,Lucinda Southworth
Jacqueline Cochran,Floyd Odlum
Neil Young,Daryl Hannah
Lita Grey,Charlie Chaplin
Alan J. Pakula,Hope Lange
Tom DeLonge,Jennifer DeLonge
Vondie Curtis-Hall,Kasi Lemmons
Tom Hanks,Samantha Lewes
David Lynch,Mary Sweeney
Jack Bauer,Teri Bauer
Mitt Romney,Ann Romney
Tom Hanks,Rita Wilson
Carl Sagan,Ann Druyan
Louis Armstrong,Lil Hardin Armstrong
Alan Harper,Kandi
George Stevens,Yvonne Howell
Barry Watson,Natasha Gregson Wagner
Neil Young,Pegi Young
Ashton Eaton,Brianne Theisen-Eaton
Linda Lovelace,Chuck Traynor
Dwyane Wade,Gabrielle Union
Neil Armstrong,Janet Shearon
Madonna,Sean Penn
Johanna Braddy,Josh Blaylock
Meryl Streep,Don Gummer
Elvis Presley,Priscilla Presley
Michael Jackson,Debbie Rowe
Alan Harper,Walden Schmidt
Charles Lindbergh,Anne Morrow Lindbergh
Marc Anthony,Jennifer Lopez
Marlene Dietrich,Rudolf Sieber
Michael Bloomberg,Susan Brown
Jimmy Wales,Christine Rohan
Albert Einstein,Mileva Marić
Alan Harper,Judith Melnick
Marc Anthony,Dayanara Torres
King Vidor,Florence Vidor
Matt Hardy,Reby Sky
Johanna Braddy,Freddie Stroma
Jason Lee,Carmen Llywelyn
Budd Boetticher,Elsa Cárdenas Rentería
John Bardeen,Jane Maxwell
Marc Anthony,Shannon de Lima
Bruce Springsteen,Patti Scialfa
Bruce Springsteen,Julianne Phillips
King Vidor,Eleanor Boardman
Carl Sagan,Lynn Margulis
Geoffrey Arend,Christina Hendricks
Stanley Kubrick,Christiane Kubrick
Budd Boetticher,Debra Paget
Abraham Lincoln,Mary Todd Lincoln
Frank Lloyd,Virginia Kellogg
Marilyn Monroe,Joe DiMaggio
Melvil Dewey,Annie Dewey
Marilyn Monroe,James Dougherty
Florence Griffith,Al Joyner
Barry Watson,Tracy Hutson
Amelia Earhart,George P. Putnam
Bruce Willis,Emma Heming Willis
Mildred Dresselhaus,Gene Dresselhaus
Jimmy Wales,Kate Garvey
Caroline Endres Diescher,Samuel Diescher
Pete Sampras,Bridgette Wilson
Bill Clinton,Hillary Clinton
Lyndon B. Johnson,Lady Bird Johnson
Calista Flockhart,Harrison Ford
Paul Simon,Edie Brickell
John Cassavetes,Gena Rowlands
Sidney Lumet,Rita Gam
Jack Nicholson,Winnie Hollman
Jim Carrey,Melissa Womer
Sylvester Stallone,Brigitte Nielsen
Jodie Foster,Alexandra Hedison
