person,child
Tony DiLeo,T. J. DiLeo
Melinda Gates,Phoebe Adele Gates
Walter Pach,Raymond Peter Pach
Kate Burton,Morgan Ritchie
Benjamin Peirce,Charles Sanders Peirce
John H. Bankhead,William B. Bankhead
Rosemary Clooney,Rafael Ferrer
Mary Roberts Rinehart,Alan Rinehart
Gavin Newsom,Hunter Newsom
Rosemary Clooney,Miguel Ferrer
Elizabeth Avellán,Rebel Rodriguez
Madalyn Murray O'Hair,William J. Murray
John Warner,Virginia Warner
John Warner,"John William Warner, Jr."
Rosemary Clooney,Monsita Ferrer
John H. Bankhead,John H. Bankhead II
Elizabeth Cady Stanton,Harriot Eaton Stanton Blatch
Jam Master Jay,Jason William Mizell Jr.
Elizabeth Cady Stanton,Theodore Stanton
Elizabeth Avellán,Racer Rodriguez
Elizabeth Avellán,Rogue Rodriguez
Ellis Marsalis,Jason Marsalis
Ken Jenkins,Daniel Jenkins
John William Draper,Henry Draper
Dakota Meyer,Sailor Grace
Jamil Mahuad,Paola Mahuad Calderón
Gregg Allman,Devon Allman
Powers Boothe,Parisse Boothe
Stephen J. Cannell,Tawnia McKiernan
Ellis Marsalis,Delfeayo Marsalis
Amos Beebe Eaton,Daniel Cady Eaton
Stephen Gyllenhaal,Jake Gyllenhaal
Gregg Allman,Elijah Blue Allman
Isadora Duncan,Deirdre Craig
Isadora Duncan,Patrick Augustus Duncan
Amy Van Nostrand,Sam Daly
Paul Ilyinsky,Prince Michael Pavlovich Romanov
Ethan Hawke,Maya Hawke
Betty Shabazz,Ilyasah Shabazz
Ellis Marsalis,Wynton Marsalis
Betty Shabazz,Malikah Shabazz
John T. Walton,Lukas Walton
Robert P. Casey,Bob Casey Jr.
Thomas Willing,Mary Willing Clymer
Betty Shabazz,Qubilah Shabazz
Andrew Carnegie,Margaret Carnegie Miller
Nile Rodgers,Nathan Rodgers
Paul Ilyinsky,Dimitri Pavlovich Romanov-Ilyinsky
Paul Ilyinsky,Paula Maria Pavlovna Romanov-Ilyinsky
Paul Ilyinsky,Anna Pavlovna Romanov-Ilyinsky
Paul Ilyinsky,Mikhail Pavlovich Romanov-Ilyinsky
Hal B. Wallis,Brent Wallis
John William Draper,John Christopher Draper
Thomas Willing,Elizabeth Willing Jackson
Isadora Duncan,Deidre Beatrice Craig
Ellis Marsalis,Branford Marsalis
Walter Bradford Cannon,Bradford Cannon
Kevin Michael Richardson,Michael Richardson
Amos Tuck,Edward Tuck
Walter Bradford Cannon,Marian Cannon Schlesinger
Aaron Teitelbaum,Menachem Mendel Teitelbaum
Arlene Francis,Peter Gabel
Kevin Michael Richardson,Anthony Richardson
Thomas Willing,Abigail Willing Peters
Thomas Willing,Richard Willing
David Rabe,Lily Rabe
John William Draper,Virginia Draper
Hiram Bingham I,Hiram Bingham II
Amos Bronson Alcott,Anna Alcott Pratt
Tony Conrad,Theodore Conrad
Fredric Steinkamp,William Steinkamp
Amos Bronson Alcott,Elizabeth Sewall Alcott
Jack Black,Thomas Black
Frank Church,Forrest Church
Sam Walton,Jim Walton
Sarah Connor,John Connor
Sam Walton,Alice Walton
Sam Walton,John T. Walton
Jack Black,Samuel Black
James Hetfield,Cali Hetfield
James Hetfield,Castor Hetfield
Amy Adams,Aviana Olea Le Gallo
Bo Welch,Luke Welch
Sam Walton,S. Robson Walton
Amos Bronson Alcott,Louisa May Alcott
Donald Kagan,Frederick Kagan
Bo Welch,Matthew Welch
Bobby Carpenter,Alexandra Carpenter
John Bell,Charles H. Bell
Stan Smith,Steve Smith
Stan Smith,Hayley Smith
Andre Royo,Stella Royo
Nat Adderley,Nat Adderley junior
Howard Sutherland,Richard Kerens Sutherland
Amos Eaton,Amos Beebe Eaton
Amos Bronson Alcott,Abigail May Alcott Nieriker
Ben Affleck,Sam Affleck
Ben Affleck,Violet Affleck
Daniel Ridgway Knight,Louis Aston Knight
Michael Chapman,Andrew Chapman
Walton Walker,Sam S. Walker
Amos Adams Lawrence,William Lawrence
Ernie Hudson,Ernie Hudson Jr.
Sammy Cahn,Steve Khan
Clarence Holiday,Billie Holiday
Amos Adams Lawrence,Sarah Lawrence
Kevin Smith,Harley Quinn Smith
Ben Affleck,Seraphina Affleck
Gwen Stefani,Kingston Rossdale
Desi Arnaz,"Desi Arnaz, Jr."
Desi Arnaz,Lucie Arnaz
Donald Kagan,Robert Kagan
Paul Ilyinsky,Dimitri Pavlovich Romanovsky-Ilyinsky
Griffin Dunne,Hannah Dunne
Stephen Gyllenhaal,Maggie Gyllenhaal
Thomas Willing,Ann Willing Bingham
Amos Adams Lawrence,Harriet Hemenway
Alice Arden,Russ Hodge
Alice Heine,Odile Chapelle de Jumilhac du Plessis de Richelieu
Howard Cedar,Joseph Cedar
Marjorie Margolies-Mezvinsky,Marc Mezvinsky
Lenny Dykstra,Cutter Dykstra
Lenny Dykstra,Luke Dykstra
Perry Ferguson,Perry Ferguson
Samuel M. Comer,Anjanette Comer
Jim Chapin,Harry Chapin
Owen K. Garriott,Richard Garriott
Owen K. Garriott,Robert Garriott
Jim Chapin,Tom Chapin
Margaret Field,Sally Field
Diahnne Abbott,Drena De Niro
Michael Mantler,Karen Mantler
Paul Theroux,Marcel Theroux
Diahnne Abbott,Raphael De Niro
Arnold Rice Rich,Adrienne Rich
Joseph Medill Patterson,James Joseph Patterson
Randy Ayers,Cameron Ayers
Mark Hanna,Ruth Hanna McCormick
Jim Chapin,Steve Chapin
Randy Ayers,Ryan Ayers
Joseph Medill Patterson,Alicia Patterson
Burrill Phillips,Ann E. Todd
Tony Visconti,Jessica Lee Morgan
Charles Chesnutt,Dorothy K. Chesnutt Slade
Stanley Matthews,Paul Matthews
Dolph Schayes,Danny Schayes
Andrew Pickens,Andrew Pickens
Paul Theroux,Louis Theroux
Charles Chesnutt,Edwin J. Chesnutt
Charles Chesnutt,Ethel Chesnutt
David Cain,Cassandra Cain
George Hively,George Hively
Alexander Tcherepnin,Serge Tcherepnin
Martin Kove,Jesse Kove
Charles Chesnutt,Helen Maria Chesnutt
Chris Pratt,Jack Pratt
Invisible Woman,Franklin Richards
John Phillips,Bijou Phillips
Invisible Woman,Valeria Richards
Bil Keane,Glen Keane
David E. Kelley,John Kelley
Alexander Tcherepnin,Ivan Tcherepnin
Cleveland Abbe,Truman Abbe
C. Douglas Dillon,2
John Phillips,Chynna Phillips
David E. Kelley,Claudia Kelley
Cleveland Abbe,"Cleveland Abbe, Jr."
Gummo Marx,Bob Marx
Anthony Muñoz,Michael Muñoz
Mal Whitfield,Fredricka Whitfield
John Phillips,Mackenzie Phillips
Efrem Zimbalist Jr.,Stephanie Zimbalist
Richard Posner,Eric Posner
Marcella Boveri,Margret Boveri
Joe Manchin,Heather Bresch
George Herbert Walker,John M. Walker
Ugo Stille,Alexander Stille
George Herbert Walker,"George Herbert Walker, Jr."
Dominique de Menil,François de Menil
Frances Bergen,Candice Bergen
Marjorie Scardino,Hal Scardino
George Herbert Walker,Dorothy Walker Bush
"Thelma Furness, Viscountess Furness","William Anthony Furness, 2nd Viscount Furness"
Thomas Sim Lee,John Lee
Stuart Margolin,Max Martini
Thomas Sim Lee,Thomas Lee
Françoise Gilot,Claude Picasso
Ken Griffey Jr.,Trey Griffey
Audrey Lawson-Johnston,Juliet Amy Lawson Johnston
Audrey Lawson-Johnston,Marguerite Laura Lawson Johnston
Audrey Lawson-Johnston,Primrose Pearl Lawson Johnston
Françoise Gilot,Paloma  Ruiz Picasso
Hannah Whitall Smith,Mary Berenson
Irene Hervey,Jack Jones
Hannah Whitall Smith,Logan Pearsall Smith
Louisine Havemeyer,Electra Havemeyer Webb
Raymond Massey,Anna Massey
Taye Diggs,Walker Diggs
Tricia Leigh Fisher,Wylder Thames
Raymond Massey,Daniel Massey
Evelyn Ward,David Cassidy
George Mason,Thomas Mason
George Mason,John Mason
George Mason,William Mason
Rashida Jones,Isaiah Koenig
Randy Neugebauer,Toby Neugebauer
Jack Sikma,Luke Sikma
Thomas Sim Lee,Elizabeth Digges Lee
Clara Lemlich,Irving Charles Velson
George Mason,Thomson Mason
John Eisenhower,David Eisenhower
Alexander Slidell Mackenzie,Alexander Slidell MacKenzie
Lurleen Brigham Burns Wallace,"George Wallace, Jr."
John Eisenhower,Susan Eisenhower
Richard M. Daley,Patrick R. Daley
Alexander Slidell Mackenzie,Ranald Slidell Mackenzie
John Eisenhower,Mary Jean Eisenhower
Gloria Morgan Vanderbilt,Gloria Vanderbilt
Alice Hirson,David Hirson
John Eisenhower,Anne Eisenhower
Richard Mellon Scaife,Jennie K. Scaife
Richard Mellon Scaife,David N. Scaife
Hazel Lavery,Alice Trudeau
Robert Roswell Palmer,Stanley Howard Palmer
Steve Beshear,Andy Beshear
Helen Barolini,Teodolinda Barolini
Drena De Niro,Leandro De Niro Rodriguez
Dominique de Menil,George de Menil
Anna Kashfi,Christian Brando
Alfred Sturtevant,William C. Sturtevant
Cheryl Miller,Erik Seidenglanz
Tricia Leigh Fisher,Holden Chabot
George Mason,George Mason V
Angelo Poffo,Lanny Poffo
Michael Tavera,Mason Tavera
Angelo Poffo,Randy Savage
Jaid Barrymore,Drew Barrymore
Jean Muir,Michael Jaffe
Bob MacKinnon,"Bob MacKinnon, Jr"
Dominique de Menil,Sheikha Fariha al Jerrahi
Buck Baker,Buddy Baker
Billy Eckstine,Ronnie Eckstine
W. Eugene Smith,Q46993726
Hank Williams Jr.,Hilary Williams
David Porter,David Dixon Porter
Rosario DeSimone,Frank DeSimone
Carroll O'Connor,Hugh O'Connor
Buck Baker,Randy Baker
David Porter,David Farragut
Stephen A. Schwarzman,Teddy Schwarzman
Frank Marshall,Meghan Marshall
Eleanor Lambert,Bill Berkson
John P. Jones,Marion Jones Farquhar
Mike Melvoin,Jonathan Melvoin
David Porter,William D. Porter
Mike Melvoin,Wendy Melvoin
Max Weinberg,Jay Weinberg
Mike Melvoin,Susannah Melvoin
Sara Carter,Janette Carter
Martin Gabel,Peter Gabel
Esther Wojcicki,Janet Wojcicki
Esther Wojcicki,Anne Wojcicki
Kenny Roberts,"Kenny Roberts, Jr."
Kenny Roberts,Kurtis Roberts
John Farrow,Stephanie Farrow
John Humphrey Noyes,Pierrepont Noyes
John Farrow,Tisa Farrow
Philip Berg,Yehuda Berg
Esther Wojcicki,Susan Wojcicki
John Farrow,Patrick Villiers Farrow
Albert Herter,Christian Herter
Felix de Weldon,Daniel DeWeldon
Carl Leavitt Hubbs,Frances Hubbs Miller
Carl Leavitt Hubbs,Clark Hubbs
John Farrow,Mia Farrow
John Farrow,Prudence Farrow
Tony Smith,Kiki Smith
Nathan Appleton,Thomas Gold Appleton
Viva,Gaby Hoffmann
Herta Ware,Ellen Geer
John H. Hammond,John P. Hammond
Chao Yuen Ren,Rulan Chao Pian
Ralph Abernathy,Ralph David Abernathy III
John de Lancie,Keegan de Lancie
Phil Knight,Travis Knight
Carlos Camacho,Felix Perez Camacho
Elizabeth Blair Lee,Blair Lee I
Chögyam Trungpa,Gesar Mukpo
Dan Inosanto,Diana Lee Inosanto
Robert Keohane,Nat Keohane
Robert Walker,"Robert Walker, Jr."
Phil Knight,Matthew Knight
Ralph Abernathy,Donzaleigh Abernathy
Edsel Bryant Ford,"William Clay Ford, Sr."
Nathan Appleton,William Sumner Appleton
Hank Williams Jr.,Hank Williams III
John O'Hara,C. D. B. Bryan
Edsel Bryant Ford,Josephine Clay Ford
Chögyam Trungpa,Sakyong Mipham
Hank Williams Jr.,Holly Williams
John H. Hammond,Douglas Hammond
John H. Hammond,Jason Hammond
James Stacy,Heather Stacy
Nathan Appleton,Fanny Appleton Longfellow
Raja Gosnell,Bradley Gosnell
Irving Kristol,Bill Kristol
Mordecai Kaplan,Judith Kaplan Eisenstein
Edsel Bryant Ford,Henry Ford II
Edsel Bryant Ford,Benson Ford
P. J. Brown,Kalani Brown
Angus MacLise,Ossian Kennard MacLise
Paul Attanasio,Annabelle Attanasio
William Henry Vanderbilt,William Kissam Vanderbilt I
William Henry Vanderbilt,Cornelius Vanderbilt II
Barry Diller,Alexander von Fürstenberg
Barry Diller,Tatiana von Fürstenberg
Annie Reich,Lore Reich Rubin
Albert Arnold Gore,Nancy Gore Hunger
Kim Richards,Brooke Brinson
Annie Reich,Eva Reich
Kourtney Kardashian,Penelope Disick
Kourtney Kardashian,Reign Aston Disick
Albert Arnold Gore,Al Gore
Gotthilf Heinrich Ernst Muhlenberg,Henry A. P. Muhlenberg
Bob Graham,Gwen Graham
William Henry Vanderbilt,Emily Thorn Vanderbilt
William Henry Vanderbilt,Florence Adele Vanderbilt Twombly
George Hearst,William Randolph Hearst
Hayward Keniston,Kenneth Keniston
Hayward Keniston,Marjorie McIntosh
William Henry Vanderbilt,Frederick William Vanderbilt
Terry Cummings,TJ Cummings
William Henry Vanderbilt,Eliza Osgood Vanderbilt Webb
William Henry Vanderbilt,Margaret Louisa Vanderbilt Shepard
Kim Richards,Whitney Davis
Anna Halprin,Daria Halprin
William Henry Vanderbilt,George Washington Vanderbilt II
John Dykstra,Chloe Dykstra
Edward Burr Van Vleck,John Hasbrouck Van Vleck
Antoine Roney,Kojo Roney
John William Noell,Thomas E. Noell
William Dwight Whitney,Edward Baldwin Whitney
Marguerite Nichols,"Hal Roach, Jr."
Peter Mark Richman,Lucas Richman
Raimundo Lida,Clara Lida
Charles Erskine Scott Wood,Nan Wood Honeyman
"Robert Downey, Sr.","Robert Downey, Jr."
Ann Jarvis,Anna Jarvis
Blackjack Mulligan,Barry Windham
Blackjack Mulligan,Kendall Windham
Hermann Ottomar Herzog,Lewis Edward Herzog
Alexander Liberman,Francine du Plessix Gray
Dion Boucicault,Aubrey Boucicault
Sam Treiman,Rebecca Treiman
Charles David Keeling,Ralph Keeling
Anthony Mason,Antoine Mason
Henry Eyring,Henry B. Eyring
Anne Gorsuch Burford,Neil Gorsuch
Yakima Canutt,Tap Canutt
John Berry,Arny Berry
Dion Boucicault,"Dion Boucicault, Jr."
Oakes Ames,Oakes Angier Ames
Mark McGrath,Lydon McGrath
John Berry,Dennis Berry
Tom Gries,Jon Gries
George M. Cohan,Mary Cohan
Isaiah L. Kenen,Peter Kenen
Dion Boucicault,Nina Boucicault
Fred Rose,Wesley Rose
John Carlyle Herbert,Anna Caroline Herbert
George M. Cohan,Helen Cohan
Wilford Woodruff,Abraham O. Woodruff
Kyle Reese,John Connor
Herb Kohl,Dan Kohl
Geoffrey Lewis,Juliette Lewis
Augustus Hall,Theodosia B. Shepherd
Lillian Lux,Mike Burstyn
Sonny Corleone,Vincent Corleone
Louise Homer,Anne Homer
Oakes Ames,Frank Morton Ames
Kourtney Kardashian,Mason Dash Disick
R. B. Kitaj,Lem Dobbs
Murry Wilson,Brian Wilson
Murry Wilson,Carl Wilson
James Sullivan,Mehitable Sullivan
Murry Wilson,Dennis Wilson
Theodora Kroeber,Ursula K. Le Guin
Walter Reed,Walter L. Reed
Tony Pérez,Eduardo Pérez
Larry McMurtry,James McMurtry
Spike Jones,"Spike Jones, Jr."
John Calipari,Erin Calipari
Thomas Reade Rootes Cobb,Lucy Cobb
Richard Armitage,Lee Armitrage
Jo Jo White,Brian J. White
Theodora Kroeber,Karl Kroeber
Erwin Ramsdell Goodenough,Ward Goodenough
Ken Burns,Sarah Burns
Antonio Fargas,Justin Fargas
Ralph Sampson,Robert Sampson
Erwin Ramsdell Goodenough,John B. Goodenough
Ralph Sampson,Ralph Sampson III
Susan Mayer,Julie Mayer
Frances Howard,Samuel Goldwyn Jr.
Katherine Mayfair,Q17436470
Big Boss,Solid Snake
Mr. Incredible,Violet Parr
"John Dingell, Jr.",Deborah Dingell
George Skakel,Ethel Skakel Kennedy
Aline Kominsky-Crumb,Sophie Crumb
James Sullivan,John L. Sullivan
Efrem Zimbalist,Efrem Zimbalist Jr.
Mr. Incredible,Dash Parr
Louis Witten,Edward Witten
"Peter Frelinghuysen, Jr.",Rodney Frelinghuysen
Dub Taylor,Buck Taylor
Mr. Incredible,Jack-Jack Parr
Matt Santos,Peter Santos
Antonio Davis,Kaela Davis
Big Boss,Liquid Snake
Holly Harper,Rebecca Harper
Hikaru Sulu,Demora Sulu
Nena von Schlebrügge,Uma Thurman
Bree Van de Kamp,Danielle Van De Kamp
Wally West,Jai West
Samuel Ashe,John Baptista Ashe
Emmett Kelly,Emmett Kelly Jr.
Big Boss,Solidus Snake
Bree Van de Kamp,Andrew Van de Kamp
Jeff Perry,Zoe Perry
Archie Manning,Eli Manning
George Skakel,Ann Skakel
George Skakel,"George Skakel, Jr."
George Skakel,Georgeanne Skakel
George Skakel,James Skakel
George Skakel,Patricia Skakel
George Skakel,Rushton Skakel
Harry Stradling,Harry Stradling
Kevin Hart,Hendrix Hart
Julius Tannen,William Tannen
Archie Manning,Cooper Manning
Green Arrow,Roy Harper
Green Arrow,Connor Hawke
Green Arrow,William Clayton
Wally West,Iris West II
Archie Manning,Peyton Manning
William Davidson,Sarah Frew Davidson
Matt Santos,Miranda Santos
David Opatoshu,Danny Opatoshu
George N. Briggs,Henry Shaw Briggs
Frances Payne Bingham,Oliver P. Bolton
Robert Ryman,Will Ryman
Bobby Troup,Cynnie Troup
Michael Steven Ovitz,Chris Ovitz
Hamilton P. Bee,Carlos Bee
Betty Leslie-Melville,unknown daughter Bruce
Betty Leslie-Melville,unknown son Bruce
Robert Carter I,"John Carter, of Corotoman"
Simon Bolivar Buckner,Simon Bolivar Buckner Jr.
Robert Ryman,Cordy Ryman
Fred Fisher,Doris Fisher
Dick Grayson,Nightstar
Tully Blanchard,Tessa Blanchard
Bobby Troup,Ronne Troup
Robert Carter I,Judith Carter Page
James Rowland Angell,James W. Angell
Claude Chevalley,Catherine Chevalley
Frank Viola,Brittany Viola
Bobbi Jordan,Jordan Roberts
John Walter Scott,Walter Stone Scott
Samuel Ealy Johnson,Lucia Huffman Johnson
Samuel Ealy Johnson,Josefa Hermine Johnson
Samuel Ealy Johnson,Rebekah Luruth Johnson
Phillips Lee Goldsborough,Brice Worthington Goldsborough II
Jeff Shaw,Travis Shaw
Jeff Richmond,Penelope Athena Richmond
Cecilia Peck,Harper Peck
Fred Fisher,Dan Fisher
Milton Wagner,Dajuan Wagner
Frank Viola,Frank Viola III
Jeff Richmond,Alice Zenobia Richmond
Bertram Myron Gross,David Gross
Price Daniel,"Price Daniel, Jr."
Alexander Bullock,Fanny Bullock Workman
Ron Brewer,Ronnie Brewer
David Huddleston,Michael Huddleston
Arthur Middleton,Henry Middleton
Fred Fisher,Marvin Fisher
Arthur Middleton,John Izard Middleton
Louie B. Nunn,Steve Nunn
Alphonso Taft,Henry Waters Taft
Alphonso Taft,William Howard Taft
Jerry Belson,Kristine Belson
John Eager Howard,George Howard
John Eager Howard,Benjamin Chew Howard
Eleanor Perry,William Bayer
Edwin B. Winans,Edwin B. Winans
Robert Roosevelt,Granville Roland Fortescue
John Floyd,John B. Floyd
Paul Laxalt,Michelle D. Laxalt
Diane Hegarty,Zeena Schreck
Benjamin Rush,Richard Rush
Ralph Earnhardt,Dale Earnhardt
Samuel Karlin,Anna Karlin
Robert Carter I,Landon Carter
John R. Neal,"John Randolph Neal, Jr."
Betty Leslie-Melville,Rick Anderson
Alphonso Taft,Peter Rawson Taft
Robert Carter I,Mary Carter
Robert Carter I,Anne Carter
Alphonso Taft,Horace Dutton Taft
Carmine Coppola,Francis Ford Coppola
Robert Carter I,Lucy Carter
Daniel Carroll,"Daniel Carroll, Jr."
Robert Roosevelt,John Ellis Roosevelt
Robert Carter I,Charles Carter
Alphonso Taft,Charles Phelps Taft
Robert Carter I,Elizabeth Carter
Carmine Coppola,Talia Shire
Peter Abrahams,Rosie Gray
Bobby Troup,Kelly Troup
Alphonso Taft,Samuel Davenport Taft
Alphonso Taft,Frances Louise Taft
Rozz Williams,t1837370933
Carmine Coppola,August Coppola
John McKeithen,W. Fox McKeithen
Samuel Ealy Johnson,Lyndon B. Johnson
Betty DeGeneres,Ellen DeGeneres
"John S. McCain, Jr.",John McCain
Lorenzo Snow,Celestia Armada Snow
Betty DeGeneres,Vance DeGeneres
"John S. McCain, Jr.",Joe McCain
Samuel Karlin,Kenneth D. Karlin
Michael Parenti,Christian Parenti
Samuel Ealy Johnson,Sam Houston Johnson
Bobby Troup,Jody Troup
Rusty Wallace,Steve Wallace
Bobby Troup,Reese Troup
Frederick James Eugene Woodbridge,Frederick James Woodbridge
Michael Steven Ovitz,Kimberly Ovitz
John Hanson,"Alexander Contee Hanson, Sr."
John Hiatt,Lilly Hiatt
John Adams Dix,Morgan Dix
Addison Mort Walker,Brian Walker
Cyrus McCormick,Cyrus Hall McCormick II
Lee Petty,Maurice Petty
Arthur Winfree,Erik Winfree
Cyrus McCormick,Harold Fowler McCormick
Arthur Loesser,Anne Hollander
Michael Lehmann,Zander Lehmann
Arthur Winfree,Rachael Winfree
Mike Ilitch,Denise Ilitch
Thomas Hopkins Gallaudet,Edward Miner Gallaudet
James Broderick,Martha Broderick
Thomas Hopkins Gallaudet,Thomas Gallaudet
J. Willard Marriott,"J. W. ""Bill"" Marriott, Jr."
James Broderick,Janet Broderick Kraft
Mike Ilitch,Christopher Ilitch
Cyrus McCormick,Stanley Robert McCormick
Malachi Throne,Zachary Throne
"Arthur MacArthur, Jr.",Douglas MacArthur
"Arthur MacArthur, Jr.",Arthur MacArthur III
James Broderick,Matthew Broderick
Joseph Bonanno,Salvatore Bonanno
Al Unser Jr.,Al Unser III
Richard March Hoe,Robert Hoe III
Robert Littell,Jonathan Littell
Jimmy Heath,James Mtume
Bill Cody,"Bill Cody, Jr."
John Seigenthaler,John Seigenthaler
Russ Tamblyn,Amber Tamblyn
Donald Bellisario,Sean Murray
Aldo Ray,Eric Da Re
Donald Bellisario,Michael Bellisario
Philip Livingston,Catherine Livingston
Philip Livingston,Philip Philip Livingston
Robert H. Schuller,Robert A. Schuller
Lucien Murat,Prince Achille Murat
Sol Polito,Gene Polito
Terry Gordy,Ray Gordy
Jordan Cronenweth,Jeff Cronenweth
Donald Bellisario,Troian Bellisario
Arthur R.G. Solmssen,Peter York Solmssen
Lucien Murat,Louis Napoléon Murat
George H. D. Gossip,Mabel Marie Gossip
George H. D. Gossip,Harold Kenny Gossip
George H. D. Gossip,Helen J. Gossip
Mr. Burns,Larry Burns
William Stanley,Harold Stanley
Elliot Richardson,Henry S. Richardson
Lucien Murat,"Joachim, 4th Prince Murat"
Danny Thomas,Tony Thomas
Roger Miller,Dean Miller
Derek Bok,Hilary Bok
Frank Nelson Doubleday,Nelson Doubleday
Josiah Bartlett,Josiah Bartlett Jr.
Levi Lincoln,"Levi Lincoln, Jr."
Arthur P. Bagby,"Arthur P. Bagby, Jr."
Don Coscarelli,Chloe Coscarelli
Lewis Boss,Benjamin Boss
Lee Petty,Richard Petty
Alfred H. Barr,Victoria Barr
H. L. Hunt,Nelson Bunker Hunt
H. L. Hunt,Ray Lee Hunt
Bob Bennett,Jim Bennett
Bertie Charles Forbes,Malcolm Forbes
Paul Simon,Sheila Simon
Danny Thomas,Marlo Thomas
Lucien Murat,Princesse Anna Murat
Lucien Murat,Princesse Caroline Murat
H. L. Hunt,Herbert James Hunt
H. L. Hunt,William Herbert Hunt
Gouverneur Morris I,Gouverneur Morris II
Melville J. Herskovits,Jean Herskovits
Henry J. Kaiser,"Edgar Kaiser, Sr"
H. L. Hunt,Lamar Hunt
Robert Reich,Samuel Reich
H. L. Hunt,Swanee Hunt
H. L. Hunt,Margaret Hunt Hill
H. L. Hunt,Caroline Rose Hunt
Paul Dooley,Savannah Dooley
Robert Kraft,Jonathan Kraft
Cuba Gooding Sr.,Cuba Gooding Jr.
Herbert Stein,Ben Stein
Jay Gould,Anna Gould
Jay Gould,Frank Jay Gould
Jay Gould,Howard Gould
Jay Gould,Helen Miller Shepard
John W. Foster,Edith Foster
Frederick Theodore Frelinghuysen,George Griswold Frelinghuysen
Jay Gould,Edwin Gould
Art Modell,David Modell
Pierre Lorillard IV,Maude Louise Lorillard
Pierre Lorillard IV,Emily Lorillard
Pierre Lorillard IV,Pierre Lorillard V
Pierre Lorillard IV,Nathaniel Griswold Lorillard
Jay Gould,George Jay Gould
Ben Bradlee,Quinn Bradlee
Leonard Wibberley,Cormac Wibberley
John Batterson Stetson,John B. Stetson Jr.
Conrad Hall,Conrad W. Hall
Charles Lewis Tiffany,Louis Comfort Tiffany
Agoston Haraszthy,Géza Haraszthy
John Hervey Crozier,Lizzie Crozier French
Roger Troutman,Roger Troutman Jr.
Art Linkletter,Jack Linkletter
John A. Dahlgren,Ulric Dahlgren
Vincent J. McMahon,Vince McMahon
Robert Moresco,Amanda Moresco
Don Costa,Nikka Costa
Paul Green,Paul Green
Iván Rodríguez,Dereck Rodríguez
Rick Pitino,Richard Pitino
Hamilton Fish,Hamilton Fish II
John Franzese,Michael Franzese
"William H. Gates, Sr.",Bill Gates
Lex Luthor,Jaxon Xavier
Jérôme Napoleon Bonaparte,Charles Joseph Bonaparte
Gorilla Monsoon,Joey Marella
John Franzese,John Franzese Jr.
Art Linkletter,Diane Linkletter
Wolfgang Reitherman,Bruce Reitherman
John Edgar Wideman,Jamila Wideman
Hamilton Fish,Stuyvesant Fish
Cassius M. Clay,Brutus J. Clay II
John A. Dahlgren,John Vinton Dahlgren
Jérôme Napoleon Bonaparte,Jerome Napoleon Bonaparte II
Liao Zhongkai,Liao Chengzhi
Lex Luthor,"Lex Luthor, Jr."
Roberto Contreras,Luis Contreras
Cassius M. Clay,Laura Clay
Isidor Straus,Percy Selden Straus
Cassius M. Clay,Mary Barr Clay
George Moscone,Jonathan Moscone
Wolfgang Reitherman,Richard Reitherman
John A. Dahlgren,Eric Bernard Dahlgren
John A. Dahlgren,Ulrica Dahlgren
Hamilton Fish,Nicholas Fish II
Cuba Gooding Sr.,Omar Gooding
Frederick Theodore Frelinghuysen,Theodore Frelinghuysen
Wendell Willkie,Philip Willkie
Wolfgang Reitherman,Robert Reitherman
Lee Strobel,Alison Strobel
Ronald Lauder,Aerin Lauder
Ronald Lauder,Jane Lauder
H. W. Brands,Hal Brands
Frederick Theodore Frelinghuysen,Frederick Frelinghuysen
George Clymer,Henry Clymer
Wayne Thiebaud,Paul Thiebaud
Albert Baez,Joan Baez
Mickey Hargitay,Mariska Hargitay
Oliver Wolcott,Laura Wolcott Moseley
Richard Henry Lee,Francis Lightfoot Lee
Michael Eisner,Breck Eisner
William D. Leahy,William Harrington Leahy
Michael Eisner,Eric Eisner
Christopher Cain,Krisinda Cain
James Gleason,Russell Gleason
Pat Brown,Jerry Brown
Sumner Redstone,Shari Redstone
David Horowitz,Ben Horowitz
Samuel Untermyer,Irwin Untermyer
Edgar Bergen,Candice Bergen
Jerome Wiesner,Stephen Wiesner
Robert Chartoff,William Chartoff
Cornel Wilde,Cornel Wallace Wilde
Howard Homan Buffett,Warren Buffett
Paul Wellstone,Marcia Wellstone Markuson
Leonard Maltin,Jessie Maltin
Sumner Redstone,Brent Redstone
Richard Henry Lee,Ludwell Lee
Wayne MacVeagh,Charles MacVeagh
Thomas Campbell Clark,Ramsey Clark
Ernest Everett Just,Margaret Just Butcher
Richard Henry Lee,Sarah Caldwell Lee
John Tyler,John Tyler
Jim Neidhart,Natalya Neidhart
Benjamin Henry Latrobe,"Benjamin Henry Latrobe, II"
Ebenezer R. Hoar,Sherman Hoar
David Soul,China Soul
John Tyler,William Tyler
George Barnes,Norman Powell
Luis Muñoz Rivera,Luis Muñoz Marín
John Payne,Julie Payne
Jacob Wolfowitz,Paul Wolfowitz
Thomas Gore,Nina S. Gore
Nolan Ryan,Reid Ryan
Oliver Winchester,William Wirt Winchester
Norman Dello Joio,Norman Dello Joio
James White,William C. White
James White,Edson White
Bob Orton,Bob Orton Jr.
J. Stuart Blackton,Charles Stuart Blackton
Oliver Wolcott,Frederick Wolcott
